PERCIPIO,0
NONNVLLVS,0
EGO,0
EX,0
PARS,0
PRODO,0
DENIQVE,0
HORTOR,0
PRAECIPVE,0
IPSE,0
ALBINVS/N2,0
VT/4,0
HIC/1,0
OPVS/1,0
AGGREDIOR,0
AVDEO,0
PROVOCO,0
SVM/1,0
SED,0
ET/2,0
DANIEL/N1,0
REVERENS,0
OCCIDENTALIS,0
SAXONES/N,0
EPISCOPVS,0
QVI/1,0
NVNC,0
VSQVE,0
SVPERSVM/1,0
NONNVLLVS,0
EGO,0
DE,0
HISTORIA,0
ECCLESIASTICVS,0
PROVINCIA,0
IPSE,0
SIMVL/1,0
ET/2,0
PROXIMVS,0
ILLE,0
AVSTRALIS,0
SAXONES/N,0
NEQVE,0
NON,0
ET/2,0
VECTIS/N,0
INSVLA,0
LITTERA,0
MANDO/2,0
DECLARO,0
QVALITER/1,0
VERO/3,0
PER,0
MINISTERIVM,0
CEDD/N1,0
ET/2,0
CHAD/N1,0
RELIGIOSVS,0
CHRISTVS/N,0
SACERDOS,0
VEL/1,0
PROVINCIA,0
MERCII/N,0
AD/2,0
FIDES/2,0
CHRISTVS/N,0
QVI/1,0
NON,0
NOSCO,0
PERVENIO,0
VEL/1,0
PROVINCIA,0
ORIENTALIS,0
SAXONES/N,0
FIDES/2,0
QVI/1,0
OLIM,0
EXSVFFLO,0
RECIPERO,0
QVALIS/1,0
ETIAM,0
IPSE,0
PATER,0
VITA,0
VEL/1,0
OBITVS,0
EXSISTO,0
DILIGENS,0
AB,0
FRATER,0
MONASTERIVM,0
QVI/1,0
AB,0
IPSE,0
CONDO,0
LAESTINGAEV/N,0
COGNOMINO,0
AGNOSCO,0
PORRO,0
IN,0
PROVINCIA,0
ORIENTALIS,0
ANGLI/N,0
QVI/1,0
SVM/1,0
GESTA,0
ECCLESIASTICVS,0
PARS,0
EX,0
SCRIBO,0
VEL/1,0
TRADITIO,0
PRIOR,0
PARS,0
REVEREOR,0
ABBAS,0
ESI/N1,0
RELATIO,0
COMPERIO,0
AT/2,0
VERVS,0
IN,0
PROVINCIA,0
LINDISSI/N,0
QVI/1,0
SVM/1,0
GESTA,0
ERGA,0
FIDES/2,0
CHRISTVS/N,0
QVI/1,0
SVCCESSIO,0
SACERDOS,0
EXSTO,0
VEL/1,0
LITTERA,0
REVEREOR,0
ANTISTES,0
CYNEBERHT/N2,0
VEL/1,0
ALIVS,0
FIDELIS/2,0
VIR,0
VIVVS/2,0
VOX,0
