,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,,,Topic11,,,Topic12,,,Topic13,,,Topic14,,,Topic15,,,Topic16,,,Topic17,,,Topic18,,,Topic19,,,Topic20,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
rex,37,5.826771653543307,insvla,21,3.3123028391167195,canto,11,2.0872865275142316,monasterivm,31,5.585585585585585,facio,22,3.6484245439469323,dico/2,31,5.457746478873239,gens,15,2.3734177215189876,corpvs,27,4.736842105263158,monasterivm,61,10.066006600660065,habeo,17,3.2692307692307696,episcopvs,31,4.66867469879518,video,26,4.39932318104907,ecclesia,36,5.590062111801243,devs,30,5.7251908396946565,qvia,21,4.183266932270916,svvs,26,4.227642276422764,rex,51,7.213578500707214,historia,13,2.1848739495798317,angelvs,17,2.607361963190184,facio,24,3.3333333333333335
britannia/n,22,3.4645669291338583,habeo,19,2.996845425867508,habeo,10,1.8975332068311195,christvs/n,19,3.423423423423423,rex,19,3.150912106135987,episcopvs,20,3.5211267605633805,corpvs,15,2.3734177215189876,dvm/2,12,2.1052631578947367,abbatissa,19,3.1353135313531353,vsqve,15,2.8846153846153846,venio,21,3.1626506024096384,corpvs,14,2.3688663282571913,avdio,26,4.037267080745342,qvia,25,4.770992366412214,rex,18,3.5856573705179287,locvs,19,3.089430894308943,edwin/n2,21,2.9702970297029703,ecclesia,12,2.0168067226890756,monasterivm,16,2.4539877300613497,celebro,20,2.7777777777777777
annvs,18,2.8346456692913384,scoti/n,18,2.8391167192429023,facio,10,1.8975332068311195,provincia,14,2.5225225225225225,regnvm,13,2.155887230514096,qvidam,15,2.640845070422535,noster,13,2.0569620253164556,infirmitas,10,1.7543859649122806,video,13,2.145214521452145,venio,13,2.5,roma/n,13,1.957831325301205,homo,14,2.3688663282571913,venio,20,3.1055900621118013,venio,12,2.2900763358778624,praedico/3,15,2.9880478087649402,mvltvs,16,2.6016260162601625,verbvm,18,2.545968882602546,provincia,12,2.0168067226890756,provincia,15,2.3006134969325154,dominvs,18,2.5
christvs/n,14,2.204724409448819,pars,13,2.050473186119874,caelestis,9,1.7077798861480076,dico/2,13,2.3423423423423424,promitto,13,2.155887230514096,tantvs,12,2.112676056338028,qvia,13,2.0569620253164556,dolor,10,1.7543859649122806,dies,13,2.145214521452145,svpra/2,11,2.1153846153846154,dies,13,1.957831325301205,avdio,13,2.199661590524535,oratio,19,2.950310559006211,coepio,10,1.9083969465648856,vervs,10,1.9920318725099602,facio,16,2.6016260162601625,fides/2,18,2.545968882602546,christvs/n,11,1.8487394957983194,corpvs,15,2.3006134969325154,seqvor,16,2.2222222222222223
roma/n,12,1.889763779527559,britannia/n,13,2.050473186119874,homo,9,1.7077798861480076,mors,13,2.3423423423423424,ago,12,1.9900497512437811,refero,9,1.584507042253521,alivs,12,1.89873417721519,refero,8,1.4035087719298245,christvs/n,11,1.8151815181518154,provincia,10,1.9230769230769231,annvs,12,1.8072289156626504,vsqve,11,1.8612521150592216,dominvs,16,2.484472049689441,vita,9,1.717557251908397,avdio,9,1.7928286852589643,manvs/1,11,1.788617886178862,svvs,17,2.4045261669024045,gens,10,1.680672268907563,virtvs,15,2.3006134969325154,ecclesia,15,2.083333333333333
episcopvs,12,1.889763779527559,picti/n,13,2.050473186119874,historia,8,1.5180265654648957,verbvm,11,1.981981981981982,mvltvs,12,1.9900497512437811,video,9,1.584507042253521,sanctvs,10,1.5822784810126582,ivbeo,8,1.4035087719298245,nox,11,1.8151815181518154,seqvor,9,1.7307692307692308,ibi,11,1.6566265060240966,tantvs,11,1.8612521150592216,qvoqve,15,2.329192546583851,gens,8,1.5267175572519083,vita,9,1.7928286852589643,rex,10,1.6260162601626018,angli/n,16,2.263083451202263,fides/2,10,1.680672268907563,cognosco,11,1.687116564417178,habeo,14,1.9444444444444444
ecclesia,10,1.574803149606299,vsqve,12,1.8927444794952681,nox,8,1.5180265654648957,ergo/2,8,1.4414414414414414,omnis,11,1.8242122719734661,praecipio,8,1.4084507042253522,virtvs,10,1.5822784810126582,habeo,7,1.2280701754385965,qvidam,9,1.4851485148514851,civitas,7,1.3461538461538463,pervenio,10,1.5060240963855422,qvasi/1,11,1.8612521150592216,rex,11,1.7080745341614907,nolo,8,1.5267175572519083,svvs,9,1.7928286852589643,fides/2,10,1.6260162601626018,provincia,16,2.263083451202263,scribo,9,1.5126050420168067,accipio,10,1.5337423312883436,devs,13,1.8055555555555554
ordino,10,1.574803149606299,mvltvs,12,1.8927444794952681,dominvs,8,1.5180265654648957,credo,7,1.2612612612612613,venio,10,1.658374792703151,maneo,7,1.232394366197183,ecclesia,9,1.4240506329113924,parvvs/2,7,1.2280701754385965,mater,9,1.4851485148514851,deniqve,6,1.153846153846154,ago,10,1.5060240963855422,spiritvs,10,1.6920473773265652,monasterivm,11,1.7080745341614907,angli/n,7,1.3358778625954197,omnis,8,1.593625498007968,devs,8,1.3008130081300813,ecclesia,15,2.1216407355021216,omnis,9,1.5126050420168067,ergo/2,10,1.5337423312883436,dico/2,12,1.6666666666666667
gens,9,1.4173228346456692,omnis,11,1.7350157728706623,saecvlvm,8,1.5180265654648957,dvco,7,1.2612612612612613,svscipio,10,1.658374792703151,ago,6,1.056338028169014,caelestis,9,1.4240506329113924,div,7,1.2280701754385965,congregatio,9,1.4851485148514851,vnde/1,6,1.153846153846154,facio,10,1.5060240963855422,qvidam,8,1.353637901861252,dies,10,1.5527950310559007,verbvm,7,1.3358778625954197,video,7,1.394422310756972,ecclesia,8,1.3008130081300813,regnvm,15,2.1216407355021216,beatvs,9,1.5126050420168067,dico/2,9,1.3803680981595092,qvia,11,1.5277777777777777
regno,9,1.4173228346456692,fero,10,1.5772870662460567,svscipio,8,1.5180265654648957,pver,7,1.2612612612612613,salvs,9,1.4925373134328357,mvltvs,6,1.056338028169014,qvidam,8,1.2658227848101267,videlicet,6,1.0526315789473684,tantvs,8,1.3201320132013201,mitto,6,1.153846153846154,ivbeo,10,1.5060240963855422,dies,8,1.353637901861252,do,10,1.5527950310559007,omnis,7,1.3358778625954197,ibi,7,1.394422310756972,britanni/n,7,1.1382113821138211,pavlinvs/n1,15,2.1216407355021216,vir,8,1.3445378151260505,vita,9,1.3803680981595092,vnde/1,10,1.3888888888888888
cantvari/n,8,1.2598425196850394,gens,9,1.4195583596214512,vnde/1,7,1.3282732447817838,religiosvs,6,1.0810810810810811,dico/2,8,1.3266998341625207,inqvio,6,1.056338028169014,tantvs,8,1.2658227848101267,soleo,6,1.0526315789473684,memoria,7,1.155115511551155,nox,5,0.9615384615384616,antistes,8,1.2048192771084338,dvco,8,1.353637901861252,cavsa,10,1.5527950310559007,christvs/n,6,1.1450381679389312,nihil,7,1.394422310756972,caelestis,7,1.1382113821138211,annvs,12,1.6973125884016973,rex,7,1.1764705882352942,ignis,9,1.3803680981595092,cvro,9,1.25
imperivm,8,1.2598425196850394,qvoqve,9,1.4195583596214512,coepio,7,1.3282732447817838,simvl/1,6,1.0810810810810811,do,7,1.1608623548922055,oratio,6,1.056338028169014,qvoqve,7,1.1075949367088607,qvasi/1,6,1.0526315789473684,venio,7,1.155115511551155,peto,5,0.9615384615384616,adhvc,8,1.2048192771084338,pervenio,7,1.1844331641285957,domvs,9,1.3975155279503106,doceo,6,1.1450381679389312,vnde/1,6,1.1952191235059761,christvs/n,6,0.975609756097561,vir,11,1.5558698727015559,maxime,7,1.1764705882352942,institvo,8,1.2269938650306749,doceo,9,1.25
venio,7,1.1023622047244095,peto,9,1.4195583596214512,debeo,7,1.3282732447817838,video,6,1.0810810810810811,differo,7,1.1608623548922055,loqvor,6,1.056338028169014,sicvt/1,7,1.1075949367088607,annvs,6,1.0526315789473684,dico/2,7,1.155115511551155,hodie,5,0.9615384615384616,disco,7,1.0542168674698795,adhvc,7,1.1844331641285957,mos,9,1.3975155279503106,dico/2,6,1.1450381679389312,ergo/2,6,1.1952191235059761,omnis,6,0.975609756097561,filivs,11,1.5558698727015559,prior,6,1.0084033613445378,ago,8,1.2269938650306749,episcopvs,9,1.25
terra,7,1.1023622047244095,longvs,8,1.2618296529968454,religiosvs,6,1.1385199240986716,antistes,6,1.0810810810810811,advenio,6,0.9950248756218906,vaco,6,1.056338028169014,facio,7,1.1075949367088607,pars,5,0.8771929824561403,habeo,7,1.155115511551155,religio,5,0.9615384615384616,qvia,7,1.0542168674698795,narro,7,1.1844331641285957,episcopvs,8,1.2422360248447204,monasterivm,6,1.1450381679389312,debeo,6,1.1952191235059761,habeo,6,0.975609756097561,dies,10,1.4144271570014144,nvnc,6,1.0084033613445378,nobilis/2,8,1.2269938650306749,vervs,8,1.1111111111111112
regnvm,7,1.1023622047244095,soleo,8,1.2618296529968454,respondeo,6,1.1385199240986716,voco,6,1.0810810810810811,inqvio,6,0.9950248756218906,interrogo,6,1.056338028169014,gloria,6,0.949367088607595,vita,5,0.8771929824561403,voco,7,1.155115511551155,minister/1,5,0.9615384615384616,svpra/2,7,1.0542168674698795,nvnc,6,1.015228426395939,facio,8,1.2422360248447204,cvnctvs,6,1.1450381679389312,tvvs,5,0.9960159362549801,nomen,6,0.975609756097561,facio,9,1.272984441301273,cognosco,6,1.0084033613445378,facio,8,1.2269938650306749,dies,8,1.1111111111111112
