,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,,,Topic11,,,Topic12,,,Topic13,,,Topic14,,,Topic15,,,Topic16,,,Topic17,,,Topic18,,,Topic19,,,Topic20,
teneo,7,1.1023622047244095,ivxta/1,8,1.2618296529968454,animvs,6,1.1385199240986716,coepio,6,1.0810810810810811,volo/3,6,0.9950248756218906,venio,5,0.8802816901408451,vrbs,6,0.949367088607595,pono,5,0.8771929824561403,lvx,7,1.155115511551155,exeo/1,5,0.9615384615384616,videlicet,6,0.9036144578313252,ignis,6,1.015228426395939,ergo/2,8,1.2422360248447204,noster,5,0.9541984732824428,cvro,5,0.9960159362549801,lingva,6,0.975609756097561,christianvs/2,9,1.272984441301273,littera,6,1.0084033613445378,infirmitas,7,1.0736196319018405,respondeo,8,1.1111111111111112
romanvs/a,6,0.9448818897637795,pervenio,7,1.1041009463722398,nihil,6,1.1385199240986716,ibidem,6,1.0810810810810811,malvs/3,6,0.9950248756218906,pono,5,0.8802816901408451,vervs,5,0.7911392405063291,qvidam,5,0.8771929824561403,loqvor,7,1.155115511551155,presbyter,4,0.7692307692307693,accipio,6,0.9036144578313252,qvia,6,1.015228426395939,revereor,7,1.0869565217391304,respondeo,5,0.9541984732824428,pontifex,5,0.9960159362549801,hodie,6,0.975609756097561,alivs,8,1.1315417256011315,pater,6,1.0084033613445378,sicvt/1,7,1.0736196319018405,mos,8,1.1111111111111112
vita,6,0.9448818897637795,britanni/n,7,1.1041009463722398,nvnc,5,0.9487666034155597,ieivnivm,6,1.0810810810810811,hostis,6,0.9950248756218906,redeo/1,5,0.8802816901408451,beatvs,5,0.7911392405063291,ivxta/1,5,0.8771929824561403,prior,6,0.9900990099009901,cvro,4,0.7692307692307693,praedico/3,6,0.9036144578313252,cvmqve,6,1.015228426395939,frater,7,1.0869565217391304,dominvs,5,0.9541984732824428,dico/2,5,0.9960159362549801,capvt,6,0.975609756097561,baptizo,8,1.1315417256011315,gratia,6,1.0084033613445378,inqvio,7,1.0736196319018405,nosco,7,0.9722222222222222
monasterivm,6,0.9448818897637795,angli/n,6,0.9463722397476341,dico/2,5,0.9487666034155597,svscipio,6,1.0810810810810811,tvvs,5,0.8291873963515755,lingva,5,0.8802816901408451,pontifex,5,0.7911392405063291,cvmqve,5,0.8771929824561403,qvoqve,5,0.825082508250825,ecclesia,4,0.7692307692307693,prior,5,0.7530120481927711,caelestis,6,1.015228426395939,qvia,7,1.0869565217391304,honor,5,0.9541984732824428,cvmqve,5,0.9960159362549801,crvx,6,0.975609756097561,gens,7,0.9900990099009901,frater,6,1.0084033613445378,dvm/2,7,1.0736196319018405,traditio,7,0.9722222222222222
svscipio,6,0.9448818897637795,vervs,6,0.9463722397476341,vita,5,0.9487666034155597,ago,5,0.9009009009009009,solvs,5,0.8291873963515755,facio,5,0.8802816901408451,fides/2,5,0.7911392405063291,dominvs,5,0.8771929824561403,nomen,5,0.825082508250825,ibi,4,0.7692307692307693,monasterivm,5,0.7530120481927711,ocvlvs,6,1.015228426395939,dico/2,6,0.9316770186335404,homo,5,0.9541984732824428,christvs/n,4,0.796812749003984,provincia,5,0.8130081300813009,habeo,7,0.9900990099009901,habeo,6,1.0084033613445378,constrvo,7,1.0736196319018405,venio,7,0.9722222222222222
kalendae,6,0.9448818897637795,videlicet,6,0.9463722397476341,frater,5,0.9487666034155597,cvnctvs,5,0.9009009009009009,devs,5,0.8291873963515755,intro/1,5,0.8802816901408451,opvs/1,5,0.7911392405063291,morior,5,0.8771929824561403,facio,5,0.825082508250825,invenio,4,0.7692307692307693,britannia/n,5,0.7530120481927711,monasterivm,5,0.8460236886632826,terra,6,0.9316770186335404,pater,4,0.7633587786259541,gens,4,0.796812749003984,vsqve,5,0.8130081300813009,pascha,7,0.9900990099009901,magnvs,6,1.0084033613445378,christvs/n,6,0.9202453987730062,inqvio,7,0.9722222222222222
presbyter,5,0.7874015748031495,civitas,6,0.9463722397476341,terra,5,0.9487666034155597,pervenio,4,0.7207207207207207,episcopvs,5,0.8291873963515755,propter/2,5,0.8802816901408451,mvltvs,5,0.7911392405063291,intvs/2,5,0.8771929824561403,dominvs,5,0.825082508250825,dico/2,4,0.7692307692307693,recipio,5,0.7530120481927711,respondeo,5,0.8460236886632826,relinqvo,6,0.9316770186335404,nobilis/2,4,0.7633587786259541,angli/n,4,0.796812749003984,nvllvs,5,0.8130081300813009,villa,7,0.9900990099009901,angli/n,5,0.8403361344537815,avdio,6,0.9202453987730062,video,6,0.8333333333333334
historia,5,0.7874015748031495,mare,6,0.9463722397476341,domvs,5,0.9487666034155597,qvidam,4,0.7207207207207207,locvs,5,0.8291873963515755,ivbeo,5,0.8802816901408451,voco,5,0.7911392405063291,circvmdo,5,0.8771929824561403,appareo,5,0.825082508250825,svpersvm/1,4,0.7692307692307693,coepio,5,0.7530120481927711,aspicio,5,0.8460236886632826,sepelio,6,0.9316770186335404,redeo/1,4,0.7633587786259541,devs,4,0.796812749003984,soleo,5,0.8130081300813009,voco,6,0.8486562942008486,verbvm,5,0.8403361344537815,verbvm,6,0.9202453987730062,videlicet,6,0.8333333333333334
doceo,5,0.7874015748031495,septentrionalis,6,0.9463722397476341,relinqvo,5,0.9487666034155597,soleo,4,0.7207207207207207,nox,5,0.8291873963515755,qvasi/1,5,0.8802816901408451,liber/1,5,0.7911392405063291,locvlvs,5,0.8771929824561403,refero,4,0.6600660066006601,memini,4,0.7692307692307693,ritvs,5,0.7530120481927711,vivo,5,0.8460236886632826,stvdivm,5,0.7763975155279503,volo/3,4,0.7633587786259541,doceo,4,0.796812749003984,consvetvdo,5,0.8130081300813009,ivxta/1,6,0.8486562942008486,noster,5,0.8403361344537815,opvs/1,6,0.9202453987730062,vsqve,6,0.8333333333333334
vsqve,5,0.7874015748031495,dico/2,5,0.7886435331230284,loqvor,5,0.9487666034155597,vivo,4,0.7207207207207207,simvl/1,4,0.6633499170812603,ostendo,5,0.8802816901408451,peto,5,0.7911392405063291,ecclesia,4,0.7017543859649122,theodore/n1,4,0.6600660066006601,qvidam,4,0.7692307692307693,qvasi/1,5,0.7530120481927711,iste,5,0.8460236886632826,simvl/1,5,0.7763975155279503,praedico/2,4,0.7633587786259541,invenio,4,0.796812749003984,regnvm,5,0.8130081300813009,totvs,6,0.8486562942008486,alivs,5,0.8403361344537815,qvasi/1,6,0.9202453987730062,credo,6,0.8333333333333334
opvs/1,5,0.7874015748031495,saepe,5,0.7886435331230284,interrogo,5,0.9487666034155597,gavdivm,4,0.7207207207207207,video,4,0.6633499170812603,manvs/1,5,0.8802816901408451,totvs,5,0.7911392405063291,dico/2,4,0.7017543859649122,opvs/1,4,0.6600660066006601,ivxta/1,4,0.7692307692307693,gero,5,0.7530120481927711,oratio,5,0.8460236886632826,familia,5,0.7763975155279503,parvvs/2,4,0.7633587786259541,mitto,4,0.796812749003984,nihil,5,0.8130081300813009,regivs,6,0.8486562942008486,pars,5,0.8403361344537815,annvs,6,0.9202453987730062,advenio,6,0.8333333333333334
antistes,5,0.7874015748031495,qvidam,5,0.7886435331230284,vervs,4,0.7590132827324478,sacramentvm,4,0.7207207207207207,fides/2,4,0.6633499170812603,voco,4,0.7042253521126761,converto,5,0.7911392405063291,terra,4,0.7017543859649122,sancio,4,0.6600660066006601,nobilis/2,4,0.7692307692307693,svscipio,5,0.7530120481927711,mors,5,0.8460236886632826,verbvm,4,0.6211180124223602,mors,4,0.7633587786259541,doctrina,4,0.796812749003984,sanitas,5,0.8130081300813009,filia,6,0.8486562942008486,fidelis/2,5,0.8403361344537815,postmodvm,6,0.9202453987730062,vester,6,0.8333333333333334
mvltvs,5,0.7874015748031495,terra,5,0.7886435331230284,disco,4,0.7590132827324478,devs,3,0.5405405405405406,hora,4,0.6633499170812603,ivxta/1,4,0.7042253521126761,cavsa,5,0.7911392405063291,qvia,4,0.7017543859649122,nvllvs,4,0.6600660066006601,contra/2,4,0.7692307692307693,disciplina,5,0.7530120481927711,statim,5,0.8460236886632826,sollicitvs,4,0.6211180124223602,cor,4,0.7633587786259541,idolvm,4,0.796812749003984,vir,4,0.6504065040650406,gratia,5,0.7072135785007072,ecclesiasticvs,4,0.6722689075630253,prior,5,0.7668711656441718,aio,6,0.8333333333333334
ivxta/1,5,0.7874015748031495,nox,5,0.7886435331230284,omnis,4,0.7590132827324478,rego,3,0.5405405405405406,primvs,4,0.6633499170812603,cvmqve,4,0.7042253521126761,christvs/n,4,0.6329113924050633,lingva,4,0.7017543859649122,qvia,4,0.6600660066006601,intro/1,4,0.7692307692307693,iter,5,0.7530120481927711,cvro,4,0.676818950930626,rego,4,0.6211180124223602,prex,4,0.7633587786259541,maior,4,0.796812749003984,cetervs,4,0.6504065040650406,nomen,5,0.7072135785007072,lego/2,4,0.6722689075630253,lego/2,5,0.7668711656441718,sabbatvm,6,0.8333333333333334
relinqvo,5,0.7874015748031495,dies,5,0.7886435331230284,pater,4,0.7590132827324478,salvs,3,0.5405405405405406,servo,4,0.6633499170812603,donec,4,0.7042253521126761,tvvs,4,0.6329113924050633,peto,4,0.7017543859649122,accipio,4,0.6600660066006601,ergo/2,4,0.7692307692307693,aliqvot,5,0.7530120481927711,dico/2,4,0.676818950930626,habeo,4,0.6211180124223602,cvro,3,0.5725190839694656,verbvm,3,0.5976095617529881,praesvm/1,4,0.6504065040650406,britanni/n,5,0.7072135785007072,vervs,4,0.6722689075630253,cvro,5,0.7668711656441718,christvs/n,5,0.6944444444444444
semper,5,0.7874015748031495,contra/2,5,0.7886435331230284,percipio,4,0.7590132827324478,doceo,3,0.5405405405405406,tertivs,4,0.6633499170812603,domvs,4,0.7042253521126761,solvs,4,0.6329113924050633,vivo,4,0.7017543859649122,cvmqve,4,0.6600660066006601,inqvio,4,0.7692307692307693,desidero,4,0.6024096385542169,locvs,4,0.676818950930626,adhvc,4,0.6211180124223602,affero,3,0.5725190839694656,affero,3,0.5976095617529881,dico/2,4,0.6504065040650406,accipio,5,0.7072135785007072,cvra,4,0.6722689075630253,doceo,5,0.7668711656441718,monasterivm,5,0.6944444444444444
eo/1,5,0.7874015748031495,hora,5,0.7886435331230284,corpvs,4,0.7590132827324478,ecclesia,3,0.5405405405405406,qvin/1,4,0.6633499170812603,virtvs,4,0.7042253521126761,cvra,4,0.6329113924050633,dvo,4,0.7017543859649122,ivbeo,4,0.6600660066006601,res,4,0.7692307692307693,simvl/1,4,0.6024096385542169,contra/2,4,0.676818950930626,cvmqve,4,0.6211180124223602,ministerivm,3,0.5725190839694656,qvalis/1,3,0.5976095617529881,ago,4,0.6504065040650406,coepio,5,0.7072135785007072,refero,4,0.6722689075630253,episcopvs,5,0.7668711656441718,veritas,5,0.6944444444444444
devs,4,0.6299212598425197,refero,4,0.6309148264984227,soleo,4,0.7590132827324478,videlicet,3,0.5405405405405406,potivs,4,0.6633499170812603,dvco,4,0.7042253521126761,divinvs/2,4,0.6329113924050633,spiritvs,4,0.7017543859649122,servio,4,0.6600660066006601,christianvs/2,4,0.7692307692307693,pontifex,4,0.6024096385542169,intro/1,4,0.676818950930626,svpervenio,4,0.6211180124223602,maximvs,3,0.5725190839694656,credo,3,0.5976095617529881,valeo,4,0.6504065040650406,religio,5,0.7072135785007072,religiosvs,4,0.6722689075630253,frater,5,0.7668711656441718,nomen,5,0.6944444444444444
qvoqve,4,0.6299212598425197,voco,4,0.6309148264984227,qvasi/1,4,0.7590132827324478,venio,3,0.5405405405405406,tantvs,4,0.6633499170812603,ordino,4,0.7042253521126761,vita,4,0.6329113924050633,membrvm,4,0.7017543859649122,dvm/2,4,0.6600660066006601,vocabvlvm,4,0.7692307692307693,frater,4,0.6024096385542169,inqvio,4,0.676818950930626,gavdeo,4,0.6211180124223602,terra,3,0.5725190839694656,ivxta/1,3,0.5976095617529881,fero,4,0.6504065040650406,vocabvlvm,5,0.7072135785007072,pivs,4,0.6722689075630253,libellvs,5,0.7668711656441718,accipio,5,0.6944444444444444
disco,4,0.6299212598425197,genvs/1,4,0.6309148264984227,ordino,4,0.7590132827324478,percipio,3,0.5405405405405406,homo,4,0.6633499170812603,seqvor,4,0.7042253521126761,habeo,4,0.6329113924050633,sepvlcrvm,4,0.7017543859649122,transeo/1,4,0.6600660066006601,pvlvis,4,0.7692307692307693,aetas,4,0.6024096385542169,coepio,4,0.676818950930626,abba,3,0.4658385093167702,valeo,3,0.5725190839694656,nox,3,0.5976095617529881,magnvs,4,0.6504065040650406,regina,5,0.7072135785007072,dignvs,4,0.6722689075630253,ardeo,5,0.7668711656441718,consto,5,0.6944444444444444
theodore/n1,4,0.6299212598425197,nvllvs,4,0.6309148264984227,rogo,4,0.7590132827324478,fidelis/2,3,0.5405405405405406,spiritvs,4,0.6633499170812603,gens,3,0.528169014084507,britannia/n,4,0.6329113924050633,virgo,4,0.7017543859649122,intelligo,4,0.6600660066006601,gravis,4,0.7692307692307693,nobilis/2,4,0.6024096385542169,flvmen,4,0.676818950930626,provincia,3,0.4658385093167702,advenio,3,0.5725190839694656,accipio,3,0.5976095617529881,coepio,4,0.6504065040650406,vervs,4,0.5657708628005658,simvl/1,4,0.6722689075630253,res,5,0.7668711656441718,ivbeo,5,0.6944444444444444
reverto,4,0.6299212598425197,valeo,4,0.6309148264984227,sacer,4,0.7590132827324478,infirmitas,3,0.5405405405405406,exercitvs/1,4,0.6633499170812603,prior,3,0.528169014084507,qvondam,4,0.6329113924050633,prosvm/1,4,0.7017543859649122,constrvo,4,0.6600660066006601,interrogo,4,0.7692307692307693,redeo/1,4,0.6024096385542169,ivdicivm,4,0.676818950930626,invenio,3,0.4658385093167702,contra/2,3,0.5725190839694656,fero,3,0.5976095617529881,vivo,4,0.6504065040650406,omnis,4,0.5657708628005658,disco,4,0.6722689075630253,propter/2,5,0.7668711656441718,virtvs,5,0.6944444444444444
pater,4,0.6299212598425197,sedes,4,0.6309148264984227,vicissim,4,0.7590132827324478,corpvs,3,0.5405405405405406,svvm,4,0.6633499170812603,cvro,3,0.528169014084507,dies,4,0.6329113924050633,morbvs,4,0.7017543859649122,confestim,4,0.6600660066006601,rex,3,0.576923076923077,impetro,4,0.6024096385542169,ascendo,4,0.676818950930626,vsqve,3,0.4658385093167702,fero,3,0.5725190839694656,spativm,3,0.5976095617529881,primo,4,0.6504065040650406,mitto,4,0.5657708628005658,cantvari/n,4,0.6722689075630253,dominvs,5,0.7668711656441718,dominicvs,5,0.6944444444444444
sancio,4,0.6299212598425197,magnvs,4,0.6309148264984227,avdio,3,0.5692599620493358,valeo,3,0.5405405405405406,cogitatio,4,0.6633499170812603,doceo,3,0.528169014084507,inqvio,4,0.6329113924050633,christvs/n,3,0.5263157894736842,sano,4,0.6600660066006601,sedvlvs,3,0.576923076923077,do,4,0.6024096385542169,devenio,4,0.676818950930626,antistes,3,0.4658385093167702,qvamvis/1,3,0.5725190839694656,dvo,3,0.5976095617529881,miracvlvm,4,0.6504065040650406,sacramentvm,4,0.5657708628005658,venerabilis,4,0.6722689075630253,spiritvs,5,0.7668711656441718,semper,5,0.6944444444444444
mevs,4,0.6299212598425197,popvlvs/1,4,0.6309148264984227,video,3,0.5692599620493358,servo,3,0.5405405405405406,nvnc,3,0.4975124378109453,pater,3,0.528169014084507,vivo,4,0.6329113924050633,desidero,3,0.5263157894736842,avdio,3,0.49504950495049505,revereor,3,0.576923076923077,tantvs,4,0.6024096385542169,christvs/n,3,0.5076142131979695,sancio,3,0.4658385093167702,ergo/2,3,0.5725190839694656,aeternvs,3,0.5976095617529881,pavper,4,0.6504065040650406,miles,4,0.5657708628005658,regio,4,0.6722689075630253,invicem,5,0.7668711656441718,celebratio,5,0.6944444444444444
qvia,4,0.6299212598425197,mitto,4,0.6309148264984227,venio,3,0.5692599620493358,dominvs,3,0.5405405405405406,invenio,3,0.4975124378109453,affero,3,0.528169014084507,aeternvs,4,0.6329113924050633,sanctvs,3,0.5263157894736842,salvs,3,0.49504950495049505,venerabilis,3,0.576923076923077,mitto,4,0.6024096385542169,verbvm,3,0.5076142131979695,corpvs,3,0.4658385093167702,cvmqve,3,0.5725190839694656,ivbeo,3,0.5976095617529881,exercitvs/1,4,0.6504065040650406,christvs/n,3,0.4243281471004243,papa,4,0.6722689075630253,qvoqve,4,0.6134969325153374,probo,4,0.5555555555555556
dies,4,0.6299212598425197,ministro,4,0.6309148264984227,invenio,3,0.5692599620493358,maneo,3,0.5405405405405406,siqvis,3,0.4975124378109453,opvs/1,3,0.528169014084507,apostolicvs,4,0.6329113924050633,verbvm,3,0.5263157894736842,invenio,3,0.49504950495049505,pervenio,3,0.576923076923077,transeo/1,4,0.6024096385542169,videlicet,3,0.5076142131979695,accipio,3,0.4658385093167702,qvin/1,3,0.5725190839694656,religio,3,0.5976095617529881,oswald/n1,4,0.6504065040650406,sedvlvs,3,0.4243281471004243,romanvs/a,4,0.6722689075630253,pervenio,4,0.6134969325153374,dignvs,4,0.5555555555555556
adeo/1,4,0.6299212598425197,praedico/3,4,0.6309148264984227,erga,3,0.5692599620493358,dominicvs,3,0.5405405405405406,qvondam,3,0.4975124378109453,monasterivm,3,0.528169014084507,cotidie,4,0.6329113924050633,dignvs,3,0.5263157894736842,vsqve,3,0.49504950495049505,nvllvs,3,0.576923076923077,ordino,4,0.6024096385542169,ibi,3,0.5076142131979695,tantvs,3,0.4658385093167702,donec,3,0.5725190839694656,novvs,3,0.5976095617529881,ecclesiasticvs,3,0.4878048780487805,doceo,3,0.4243281471004243,vsqve,4,0.6722689075630253,soleo,4,0.6134969325153374,ago,4,0.5555555555555556
