,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
monasterivm,43,3.2477341389728096,dico/2,30,2.477291494632535,mvltvs,39,3.0540328895849647,monasterivm,63,5.46875,rex,88,7.236842105263158,episcopvs,50,3.654970760233918,facio,37,2.9529130087789306,corpvs,50,4.071661237785016,habeo,31,3.118712273641851,ecclesia,22,2.1133525456292026
provincia,39,2.9456193353474323,nox,26,2.1469859620148637,facio,28,2.192638997650744,corpvs,35,3.038194444444444,regnvm,34,2.7960526315789473,rex,45,3.289473684210526,ecclesia,28,2.2346368715083798,video,30,2.44299674267101,gens,30,3.0181086519114686,fides/2,19,1.8251681075888568
ecclesia,30,2.2658610271903323,habeo,25,2.064409578860446,devs,27,2.11433046202036,christvs/n,29,2.517361111111111,svvs,30,2.4671052631578947,venio,39,2.850877192982456,seqvor,28,2.2346368715083798,spiritvs,21,1.710097719869707,britannia/n,22,2.2132796780684103,gens,17,1.633045148895293
oratio,27,2.0392749244712993,facio,25,2.064409578860446,vita,27,2.11433046202036,video,24,2.083333333333333,edwin/n2,24,1.9736842105263157,annvs,30,2.1929824561403506,qvia,25,1.9952114924181963,coepio,18,1.4657980456026058,scoti/n,19,1.9114688128772637,provincia,17,1.633045148895293
dico/2,25,1.8882175226586102,loqvor,21,1.7341040462427744,qvia,24,1.8794048551292093,devs,18,1.5625,angli/n,23,1.8914473684210527,monasterivm,29,2.1198830409356724,devs,24,1.9154030327214684,homo,18,1.4657980456026058,omnis,18,1.8108651911468814,christvs/n,14,1.344860710854947
ivxta/1,21,1.5861027190332326,qvidam,18,1.486374896779521,rex,22,1.7227877838684416,ergo/2,17,1.4756944444444444,fides/2,23,1.8914473684210527,britannia/n,29,2.1198830409356724,doceo,24,1.9154030327214684,verbvm,17,1.3843648208469055,insvla,18,1.8108651911468814,noster,14,1.344860710854947
qvia,20,1.5105740181268883,inqvio,16,1.3212221304706853,omnis,21,1.644479248238058,dominvs,17,1.4756944444444444,gens,21,1.7269736842105265,roma/n,25,1.827485380116959,dico/2,23,1.8355945730247407,avdio,16,1.3029315960912053,vsqve,16,1.6096579476861168,historia,13,1.248799231508165
qvidam,19,1.4350453172205437,domvs,16,1.3212221304706853,dico/2,20,1.5661707126076743,abbatissa,16,1.3888888888888888,pavlinvs/n1,17,1.3980263157894737,christvs/n,22,1.608187134502924,celebro,23,1.8355945730247407,qvia,15,1.221498371335505,praedico/3,15,1.5090543259557343,sanctvs,13,1.248799231508165
constrvo,19,1.4350453172205437,terra,15,1.2386457473162675,ago,17,1.331245105716523,annvs,14,1.215277777777778,annvs,16,1.3157894736842104,antistes,21,1.5350877192982455,episcopvs,21,1.675977653631285,facio,15,1.221498371335505,pars,14,1.4084507042253522,beatvs,13,1.248799231508165
avdio,18,1.3595166163141994,qvia,15,1.2386457473162675,christvs/n,15,1.1746280344557558,mater,14,1.215277777777778,christvs/n,14,1.151315789473684,dies,20,1.461988304093567,dominvs,17,1.3567438148443736,dies,14,1.1400651465798046,mvltvs,14,1.4084507042253522,opvs/1,13,1.248799231508165
