,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
ivxta/1,13,0.9318996415770611,qvasi/1,13,1.1073253833049403,scribo,9,0.8204193254329991,christianvs/2,12,0.9309542280837859,hodie,10,1.0917030567685588,memoria,10,0.8143322475570033,vervs,11,0.8979591836734694,advenio,10,0.8888888888888888,avdio,14,0.9971509971509971,vita,10,0.8257638315441783
vita,12,0.8602150537634409,ago,12,1.0221465076660987,pater,9,0.8204193254329991,alivs,11,0.8533747090768037,ecclesia,9,0.9825327510917031,video,10,0.8143322475570033,nosco,11,0.8979591836734694,ibidem,10,0.8888888888888888,vita,14,0.9971509971509971,locvs,10,0.8257638315441783
redeo/1,12,0.8602150537634409,intro/1,12,1.0221465076660987,antistes,9,0.8204193254329991,baptizo,11,0.8533747090768037,ibi,9,0.9825327510917031,maneo,10,0.8143322475570033,traditio,11,0.8979591836734694,rogo,10,0.8888888888888888,spiritvs,14,0.9971509971509971,nvllvs,10,0.8257638315441783
semper,12,0.8602150537634409,loqvor,12,1.0221465076660987,qvia,9,0.8204193254329991,verbvm,10,0.7757951900698216,civitas,9,0.9825327510917031,certvs,9,0.7328990228013029,credo,11,0.8979591836734694,loqvor,10,0.8888888888888888,frater,13,0.9259259259259258,solvs,9,0.7431874483897605
teneo,12,0.8602150537634409,cognosco,11,0.9369676320272573,virtvs,9,0.8204193254329991,locvs,10,0.7757951900698216,qvidam,9,0.9825327510917031,infirmitas,9,0.7328990228013029,nomen,11,0.8979591836734694,historia,9,0.8,cvmqve,13,0.9259259259259258,mitto,9,0.7431874483897605
theodore/n1,11,0.7885304659498209,nox,11,0.9369676320272573,nvnc,8,0.7292616226071102,vita,9,0.6982156710628394,valeo,9,0.9825327510917031,gradvs,9,0.7328990228013029,aio,11,0.8979591836734694,sancio,9,0.8,propter/2,13,0.9259259259259258,debeo,9,0.7431874483897605
ibi,11,0.7885304659498209,ivdicivm,11,0.9369676320272573,vir,8,0.7292616226071102,caelestis,9,0.6982156710628394,contra/2,9,0.9825327510917031,seqvor,9,0.7328990228013029,venio,10,0.8163265306122449,ivxta/1,9,0.8,opvs/1,12,0.8547008547008548,differo,9,0.7431874483897605
regno,11,0.7885304659498209,appareo,11,0.9369676320272573,cvra,8,0.7292616226071102,pascha,9,0.6982156710628394,ivxta/1,8,0.8733624454148471,pver,9,0.7328990228013029,lingva,10,0.8163265306122449,dominvs,9,0.8,adhvc,12,0.8547008547008548,hostis,9,0.7431874483897605
memini,10,0.7168458781362007,nomen,10,0.8517887563884157,cognosco,8,0.7292616226071102,vsqve,8,0.6206361520558572,septentrionalis,8,0.8733624454148471,annvs,8,0.6514657980456027,accipio,10,0.8163265306122449,oratio,9,0.8,virtvs,12,0.8547008547008548,tvvs,8,0.6606110652353426
mvltvs,10,0.7168458781362007,volo/3,10,0.8517887563884157,disco,8,0.7292616226071102,ivxta/1,8,0.6206361520558572,dies,8,0.8733624454148471,dvco,8,0.6514657980456027,ivbeo,10,0.8163265306122449,sacer,9,0.8,oratio,12,0.8547008547008548,potivs,8,0.6606110652353426
dono,10,0.7168458781362007,servo,10,0.8517887563884157,doceo,8,0.7292616226071102,magnvs,8,0.6206361520558572,lingva,8,0.8733624454148471,nvper,7,0.5700325732899023,parvvs/2,10,0.8163265306122449,interrogo,9,0.8,ocvlvs,12,0.8547008547008548,tantvs,8,0.6606110652353426
