,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
ivxta/1,11,0.844205679201842,promitto,12,0.9090909090909091,qvoqve,11,0.8785942492012779,pervenio,10,0.940733772342427,civitas,9,0.7171314741035857,nox,9,0.8028545941123997,mors,11,0.900163666121113,annvs,10,0.8103727714748784,filivs,10,0.8568980291345331,qvoqve,9,0.7985803016858917
cavsa,11,0.844205679201842,do,11,0.8333333333333334,venio,11,0.8785942492012779,hodie,10,0.940733772342427,imperivm,9,0.7171314741035857,miracvlvm,9,0.8028545941123997,vsqve,10,0.8183306055646482,prior,9,0.7293354943273906,gens,9,0.7712082262210797,alivs,9,0.7985803016858917
ibi,10,0.7674597083653107,nihil,11,0.8333333333333334,nihil,11,0.8785942492012779,civitas,9,0.8466603951081844,ivbeo,9,0.7171314741035857,religiosvs,8,0.7136485280999109,ardeo,10,0.8183306055646482,verbvm,9,0.7293354943273906,vir,9,0.7712082262210797,maxime,8,0.709849157054126
vsqve,10,0.7674597083653107,manvs/1,11,0.8333333333333334,vsqve,10,0.7987220447284344,soleo,9,0.8466603951081844,teneo,9,0.7171314741035857,monasterivm,8,0.7136485280999109,iste,10,0.8183306055646482,maneo,9,0.7293354943273906,doceo,9,0.7712082262210797,omnis,8,0.709849157054126
peto,10,0.7674597083653107,accipio,10,0.7575757575757576,vnde/1,10,0.7987220447284344,dies,9,0.8466603951081844,simvl/1,8,0.6374501992031872,soleo,8,0.7136485280999109,vivo,9,0.7364975450081833,vocabvlvm,9,0.7293354943273906,christianvs/2,9,0.7712082262210797,pater,8,0.709849157054126
ibidem,10,0.7674597083653107,respondeo,10,0.7575757575757576,dies,10,0.7987220447284344,lingva,9,0.8466603951081844,reverto,8,0.6374501992031872,contingo/1,8,0.7136485280999109,simvl/1,8,0.6546644844517185,dvco,9,0.7293354943273906,cvnctvs,9,0.7712082262210797,pars,8,0.709849157054126
cvnctvs,10,0.7674597083653107,disco,9,0.6818181818181818,respondeo,10,0.7987220447284344,britanni/n,9,0.8466603951081844,pervenio,8,0.6374501992031872,respondeo,8,0.7136485280999109,sicvt/1,8,0.6546644844517185,teneo,9,0.7293354943273906,gratia,8,0.6855184233076265,corpvs,8,0.709849157054126
manvs/1,10,0.7674597083653107,hora,9,0.6818181818181818,vivo,10,0.7987220447284344,dvx,9,0.8466603951081844,recipio,8,0.6374501992031872,homo,8,0.7136485280999109,caelestis,8,0.6546644844517185,salvs,8,0.6482982171799028,caelestis,8,0.6855184233076265,vir,7,0.6211180124223602
soleo,9,0.6907137375287797,regnvm,9,0.6818181818181818,tantvs,10,0.7987220447284344,longvs,8,0.7525870178739417,ergo/2,8,0.6374501992031872,sacer,8,0.7136485280999109,narro,8,0.6546644844517185,dico/2,8,0.6482982171799028,primo,8,0.6855184233076265,simvl/1,7,0.6211180124223602
facio,9,0.6907137375287797,svscipio,9,0.6818181818181818,aio,10,0.7987220447284344,terra,8,0.7525870178739417,dono,8,0.6374501992031872,div,8,0.7136485280999109,nvnc,7,0.5728314238952537,vita,8,0.6482982171799028,pax,8,0.6855184233076265,papa,7,0.6211180124223602
video,8,0.6139677666922486,sedeo,9,0.6818181818181818,pater,9,0.7188498402555911,recipio,8,0.7525870178739417,mitto,8,0.6374501992031872,avdio,7,0.6244424620874219,cognosco,7,0.5728314238952537,habeo,8,0.6482982171799028,christvs/n,7,0.5998286203941731,littera,7,0.6211180124223602
voco,8,0.6139677666922486,salvs,8,0.6060606060606061,lingva,9,0.7188498402555911,septentrionalis,8,0.7525870178739417,ritvs,8,0.6374501992031872,cvro,7,0.6244424620874219,cvro,7,0.5728314238952537,donec,8,0.6482982171799028,cvro,7,0.5998286203941731,videlicet,7,0.6211180124223602
praecipio,8,0.6139677666922486,vnde/1,8,0.6060606060606061,accipio,9,0.7188498402555911,facio,8,0.7525870178739417,praedico/3,8,0.6374501992031872,invenio,7,0.6244424620874219,pono,7,0.5728314238952537,virtvs,8,0.6482982171799028,alivs,7,0.5998286203941731,romanvs/a,7,0.6211180124223602
maneo,8,0.6139677666922486,advenio,8,0.6060606060606061,mos,9,0.7188498402555911,accipio,8,0.7525870178739417,lectio,8,0.6374501992031872,vita,7,0.6244424620874219,intro/1,7,0.5728314238952537,relinqvo,8,0.6482982171799028,praedico/3,7,0.5998286203941731,fidelis/2,7,0.6211180124223602
dvm/2,8,0.6139677666922486,potivs,8,0.6060606060606061,revereor,8,0.6389776357827476,praedico/3,8,0.7525870178739417,perficio,8,0.6374501992031872,pono,7,0.6244424620874219,magnvs,7,0.5728314238952537,anima,8,0.6482982171799028,regina,7,0.5998286203941731,ago,7,0.6211180124223602
saecvlvm,8,0.6139677666922486,homo,8,0.6060606060606061,ivxta/1,8,0.6389776357827476,fides/2,7,0.658513640639699,theodore/n1,7,0.5577689243027889,ivbeo,7,0.6244424620874219,ergo/2,7,0.5728314238952537,congregatio,8,0.6482982171799028,nihil,7,0.5998286203941731,veritas,7,0.6211180124223602
constrvo,8,0.6139677666922486,hostis,8,0.6060606060606061,vester,8,0.6389776357827476,mare,7,0.658513640639699,frater,7,0.5577689243027889,sano,7,0.6244424620874219,respondeo,7,0.5728314238952537,refero,7,0.5672609400324149,seqvor,7,0.5998286203941731,habeo,7,0.6211180124223602
sepelio,8,0.6139677666922486,nvnc,7,0.5303030303030304,oro,8,0.6389776357827476,qvidam,7,0.658513640639699,ago,7,0.5577689243027889,ibi,6,0.535236396074933,sermo,7,0.5728314238952537,doceo,7,0.5672609400324149,pascha,7,0.5998286203941731,facio,7,0.6211180124223602
refero,7,0.5372217958557176,solvs,7,0.5303030303030304,rex,7,0.5591054313099041,flvvivs,7,0.658513640639699,mvltvs,7,0.5577689243027889,vsqve,6,0.535236396074933,anima,7,0.5728314238952537,percipio,7,0.5672609400324149,exercitvs/1,7,0.5998286203941731,mitto,7,0.6211180124223602
sancio,7,0.5372217958557176,vervs,7,0.5303030303030304,prior,7,0.5591054313099041,regio,6,0.5644402634054563,primvs,7,0.5577689243027889,pars,6,0.535236396074933,ocvlvs,7,0.5728314238952537,opvs/1,7,0.5672609400324149,oswald/n1,7,0.5998286203941731,dominicvs,7,0.6211180124223602
do,7,0.5372217958557176,venio,7,0.5303030303030304,avdio,7,0.5591054313099041,nvllvs,6,0.5644402634054563,res,7,0.5577689243027889,terra,6,0.535236396074933,alter,7,0.5728314238952537,tantvs,7,0.5672609400324149,verbvm,6,0.5141388174807198,gloria,7,0.6211180124223602
religio,7,0.5372217958557176,qvondam,7,0.5303030303030304,advenio,7,0.5591054313099041,ivxta/1,6,0.5644402634054563,relinqvo,7,0.5577689243027889,lingva,6,0.535236396074933,statim,7,0.5728314238952537,saecvlvm,7,0.5672609400324149,ecclesia,6,0.5141388174807198,exemplvm,7,0.6211180124223602
interrogo,7,0.5372217958557176,dominvs,7,0.5303030303030304,incipio,7,0.5591054313099041,sicvt/1,6,0.5644402634054563,postqvam,7,0.5577689243027889,cvmqve,6,0.535236396074933,sedvlvs,6,0.4909983633387889,ordino,7,0.5672609400324149,ibi,6,0.5141388174807198,pavper,7,0.6211180124223602
sollicitvs,6,0.4604758250191865,religio,7,0.5303030303030304,magnvs,7,0.5591054313099041,contra/2,6,0.5644402634054563,cavsa,7,0.5577689243027889,ibidem,6,0.535236396074933,monasterivm,6,0.4909983633387889,disciplina,7,0.5672609400324149,praesvm/1,6,0.5141388174807198,ecclesiasticvs,6,0.5323868677905945
abba,6,0.4604758250191865,doctrina,7,0.5303030303030304,do,7,0.5591054313099041,seqvor,6,0.5644402634054563,vervs,6,0.4780876494023904,morior,6,0.535236396074933,libellvs,6,0.4909983633387889,desidero,6,0.48622366288492713,locvs,6,0.5141388174807198,avdio,6,0.5323868677905945
invenio,6,0.4604758250191865,debeo,7,0.5303030303030304,servo,7,0.5591054313099041,vir,5,0.4703668861712135,qvoqve,6,0.4780876494023904,animvs,6,0.535236396074933,contra/2,6,0.4909983633387889,avdio,6,0.48622366288492713,nomen,6,0.5141388174807198,nosco,6,0.5323868677905945
cvmqve,6,0.4604758250191865,aio,7,0.5303030303030304,annvs,7,0.5591054313099041,institvo,5,0.4703668861712135,revereor,6,0.4780876494023904,saecvlvm,6,0.535236396074933,accipio,6,0.4909983633387889,nosco,6,0.48622366288492713,dono,6,0.5141388174807198,bonvs,6,0.5323868677905945
mitto,6,0.4604758250191865,bellvm,7,0.5303030303030304,gravis,7,0.5591054313099041,ibi,5,0.4703668861712135,doceo,6,0.4780876494023904,lvx,6,0.535236396074933,aspicio,6,0.4909983633387889,venio,6,0.48622366288492713,sacramentvm,6,0.5141388174807198,refero,6,0.5323868677905945
praedico/3,6,0.4604758250191865,angli/n,6,0.45454545454545453,traditio,6,0.4792332268370607,saepe,5,0.4703668861712135,cantvari/n,6,0.4780876494023904,intvs/2,6,0.535236396074933,propter/2,6,0.4909983633387889,ago,6,0.48622366288492713,miles,6,0.5141388174807198,cvro,6,0.5323868677905945
debeo,6,0.4604758250191865,mos,6,0.45454545454545453,episcopvs,6,0.4792332268370607,fons,5,0.4703668861712135,aetas,6,0.4780876494023904,canto,6,0.535236396074933,ivdicivm,6,0.4909983633387889,nobilis/2,6,0.48622366288492713,filia,6,0.5141388174807198,vita,6,0.5323868677905945
transfero,6,0.4604758250191865,differo,6,0.45454545454545453,obsecro,6,0.4792332268370607,coepio,5,0.4703668861712135,ivxta/1,6,0.4780876494023904,circvmdo,6,0.535236396074933,opvs/1,5,0.4091653027823241,fero,6,0.48622366288492713,sanctvs,5,0.42844901456726653,antistes,6,0.5323868677905945
labor/1,6,0.4604758250191865,malvs/3,6,0.45454545454545453,adhvc,6,0.4792332268370607,dives,5,0.4703668861712135,do,6,0.4780876494023904,abbatissa,6,0.535236396074933,frater,5,0.4091653027823241,aeternvs,6,0.48622366288492713,vervs,5,0.42844901456726653,svvs,6,0.5323868677905945
ostendo,6,0.4604758250191865,cor,6,0.45454545454545453,contra/2,6,0.4792332268370607,popvlvs/1,5,0.4703668861712135,semper,6,0.4780876494023904,historia,5,0.44603033006244425,ago,5,0.4091653027823241,ieivnivm,6,0.48622366288492713,omnis,5,0.42844901456726653,liber/1,6,0.5323868677905945
pecvnia,6,0.4604758250191865,offero,6,0.45454545454545453,hodie,6,0.4792332268370607,crvx,5,0.4703668861712135,filivs,6,0.4780876494023904,venerabilis,5,0.44603033006244425,ivxta/1,5,0.4091653027823241,constrvo,6,0.48622366288492713,romanvs/a,5,0.42844901456726653,totvs,6,0.5323868677905945
sanitas,6,0.4604758250191865,interrogo,6,0.45454545454545453,dvo,6,0.4792332268370607,qvoqve,4,0.37629350893697083,eo/1,6,0.4780876494023904,nomen,5,0.44603033006244425,facio,5,0.4091653027823241,appareo,6,0.48622366288492713,percipio,5,0.42844901456726653,apostolvs,6,0.5323868677905945
nvnc,5,0.38372985418265537,christvs/n,5,0.3787878787878788,profero,6,0.4792332268370607,video,4,0.37629350893697083,gavdeo,6,0.4780876494023904,nvllvs,5,0.44603033006244425,volo/3,5,0.4091653027823241,historia,5,0.4051863857374392,advenio,5,0.42844901456726653,barbarvs/2,6,0.5323868677905945
stvdivm,5,0.38372985418265537,sanctvs,5,0.3787878787878788,celebratio,6,0.4792332268370607,venio,4,0.37629350893697083,ibi,5,0.398406374501992,aqva,5,0.44603033006244425,egredior,5,0.4091653027823241,memoria,5,0.4051863857374392,britanni/n,5,0.42844901456726653,prior,5,0.44365572315882873
simvl/1,5,0.38372985418265537,noster,5,0.3787878787878788,offero,6,0.4792332268370607,frater,4,0.37629350893697083,pars,5,0.398406374501992,intro/1,5,0.44603033006244425,virtvs,5,0.4091653027823241,institvo,5,0.4051863857374392,qvin/1,5,0.42844901456726653,lego/2,5,0.44365572315882873
vita,5,0.38372985418265537,divinvs/2,5,0.3787878787878788,ivvenis/2,6,0.4792332268370607,genvs/1,4,0.37629350893697083,habeo,5,0.398406374501992,relinqvo,5,0.44603033006244425,hvc,5,0.4091653027823241,adeo/1,5,0.4051863857374392,spativm,5,0.42844901456726653,rego,5,0.44365572315882873
siqvis,5,0.38372985418265537,alivs,5,0.3787878787878788,sabbatvm,6,0.4792332268370607,adhvc,4,0.37629350893697083,infirmitas,5,0.398406374501992,velvt/1,5,0.44603033006244425,nolo,5,0.4091653027823241,servio,5,0.4051863857374392,regivs,5,0.42844901456726653,traditio,5,0.44365572315882873
res,5,0.38372985418265537,invenio,5,0.3787878787878788,lego/2,5,0.3993610223642172,longe,4,0.37629350893697083,voco,5,0.398406374501992,debeo,5,0.44603033006244425,debeo,5,0.4091653027823241,devotio,5,0.4051863857374392,doctor,5,0.42844901456726653,episcopvs,5,0.44365572315882873
converto,5,0.38372985418265537,pater,5,0.3787878787878788,probo,5,0.3993610223642172,primvs,4,0.37629350893697083,adeo/1,5,0.398406374501992,annvs,5,0.44603033006244425,conversatio,5,0.4091653027823241,exemplvm,5,0.4051863857374392,regno,5,0.42844901456726653,excipio,5,0.44365572315882873
transeo/1,5,0.38372985418265537,locvs,5,0.3787878787878788,memoria,5,0.3993610223642172,sedes,4,0.37629350893697083,christianvs/2,5,0.398406374501992,dvco,5,0.44603033006244425,clarvs,5,0.4091653027823241,amor,5,0.4051863857374392,imbvo,5,0.42844901456726653,sicvt/1,5,0.44365572315882873
