,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
filivs,13,0.855263157894737,svpra/2,9,0.26139994191112403,intro/1,9,0.35530990919857874,ordino,11,0.42471042471042475,crvx,11,0.7534246575342466,rex,10,0.3284072249589491,dies,11,0.39173789173789175,peto,12,1.0723860589812333,coepio,11,0.39229671897289586,opvs/1,9,0.7475083056478405
verbvm,12,0.7894736842105263,gens,8,0.23235550392099913,domvs,9,0.35530990919857874,seqvor,11,0.42471042471042475,doctrina,11,0.7534246575342466,christvs/n,10,0.3284072249589491,qvoqve,10,0.3561253561253561,qvoqve,11,0.9830205540661305,devs,10,0.3566333808844508,ecclesiasticvs,8,0.6644518272425249
locvs,12,0.7894736842105263,qvia,8,0.23235550392099913,relinqvo,9,0.35530990919857874,rex,10,0.3861003861003861,caelestis,11,0.7534246575342466,pater,9,0.2955665024630542,simvl/1,10,0.3561253561253561,civitas,11,0.9830205540661305,ago,10,0.3566333808844508,maxime,8,0.6644518272425249
tantvs,12,0.7894736842105263,cantvari/n,7,0.20331106593087425,dolor,9,0.35530990919857874,accipio,10,0.3861003861003861,homo,11,0.7534246575342466,episcopvs,9,0.2955665024630542,vsqve,10,0.3561253561253561,soleo,11,0.9830205540661305,pono,10,0.3566333808844508,vir,8,0.6644518272425249
christianvs/2,12,0.7894736842105263,theodore/n1,7,0.20331106593087425,pono,8,0.31583103039873667,praecipio,10,0.3861003861003861,vita,10,0.684931506849315,respondeo,9,0.2955665024630542,inqvio,10,0.3561253561253561,mare,10,0.8936550491510277,voco,10,0.3566333808844508,cvra,8,0.6644518272425249
baptizo,12,0.7894736842105263,romanvs/a,7,0.20331106593087425,maneo,8,0.31583103039873667,praedico/3,10,0.3861003861003861,nvllvs,10,0.684931506849315,vervs,8,0.2627257799671593,iste,10,0.3561253561253561,hodie,9,0.8042895442359249,lvx,10,0.3566333808844508,dignvs,8,0.6644518272425249
nihil,12,0.7894736842105263,vita,7,0.20331106593087425,cvnctvs,8,0.31583103039873667,avdio,9,0.34749034749034746,volo/3,10,0.684931506849315,nosco,8,0.2627257799671593,mors,10,0.3561253561253561,verbvm,8,0.7149240393208222,prior,9,0.3209700427960057,papa,8,0.6644518272425249
episcopvs,11,0.7236842105263158,nobilis/2,7,0.20331106593087425,loqvor,8,0.31583103039873667,dies,9,0.34749034749034746,tantvs,10,0.684931506849315,veritas,8,0.2627257799671593,ardeo,9,0.3205128205128205,venio,8,0.7149240393208222,antistes,9,0.3209700427960057,video,8,0.6644518272425249
dies,11,0.7236842105263158,transeo/1,7,0.20331106593087425,devs,7,0.2763521515988946,ergo/2,9,0.34749034749034746,offero,10,0.684931506849315,servo,8,0.2627257799671593,adhvc,9,0.3205128205128205,ibi,8,0.7149240393208222,certvs,9,0.3209700427960057,pontifex,8,0.6644518272425249
promitto,11,0.7236842105263158,teneo,7,0.20331106593087425,disco,7,0.2763521515988946,tantvs,9,0.34749034749034746,vnde/1,9,0.6164383561643836,credo,7,0.22988505747126436,accipio,9,0.3205128205128205,dico/2,8,0.7149240393208222,appareo,9,0.3209700427960057,vita,8,0.6644518272425249
religio,11,0.7236842105263158,gavdeo,7,0.20331106593087425,valeo,7,0.2763521515988946,ostendo,9,0.34749034749034746,coepio,9,0.6164383561643836,regnvm,7,0.22988505747126436,ergo/2,9,0.3205128205128205,saepe,8,0.7149240393208222,qvia,8,0.28530670470756064,svvs,8,0.6644518272425249
praedico/3,11,0.7236842105263158,ecclesia,6,0.17426662794074935,dies,7,0.2763521515988946,constrvo,9,0.34749034749034746,vivo,9,0.6164383561643836,mos,7,0.22988505747126436,respondeo,9,0.3205128205128205,valeo,8,0.7149240393208222,nox,8,0.28530670470756064,sedes,8,0.6644518272425249
