,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
qvidam,11,0.897226753670473,soleo,11,0.9205020920502093,coepio,10,0.8818342151675485,sancio,9,0.7582139848357203,pervenio,9,0.7653061224489796,fero,11,0.8142116950407106,peto,10,0.8771929824561403,cvra,9,0.779896013864818,vnde/1,11,0.9181969949916527,corpvs,13,0.9976976208749041
relinqvo,11,0.897226753670473,video,10,0.8368200836820083,inqvio,9,0.7936507936507936,intro/1,9,0.7582139848357203,gens,8,0.6802721088435374,filivs,11,0.8142116950407106,angli/n,9,0.7894736842105263,scribo,9,0.779896013864818,aio,11,0.9181969949916527,oratio,13,0.9976976208749041
nihil,10,0.8156606851549755,venio,10,0.8368200836820083,vivo,9,0.7936507936507936,relinqvo,9,0.7582139848357203,pontifex,8,0.6802721088435374,tvvs,10,0.7401924500370096,videlicet,9,0.7894736842105263,vita,9,0.779896013864818,cvro,10,0.8347245409015025,constrvo,13,0.9976976208749041
salvs,9,0.734094616639478,certvs,10,0.8368200836820083,narro,9,0.7936507936507936,refero,8,0.6739679865206403,aetas,8,0.6802721088435374,sanctvs,10,0.7401924500370096,affero,9,0.7894736842105263,habeo,9,0.779896013864818,traditio,10,0.8347245409015025,ieivnivm,12,0.920951650038373
video,9,0.734094616639478,facio,10,0.8368200836820083,appareo,9,0.7936507936507936,cvro,8,0.6739679865206403,ivxta/1,8,0.6802721088435374,alivs,10,0.7401924500370096,soleo,9,0.7894736842105263,avdio,8,0.6932409012131715,pater,10,0.8347245409015025,qvoqve,11,0.844205679201842
mvltvs,9,0.734094616639478,mvltvs,9,0.7531380753138075,respondeo,8,0.7054673721340388,monasterivm,8,0.6739679865206403,recipio,8,0.6802721088435374,locvs,10,0.7401924500370096,contra/2,9,0.7894736842105263,littera,8,0.6932409012131715,monasterivm,10,0.8347245409015025,voco,11,0.844205679201842
lingva,9,0.734094616639478,nvllvs,9,0.7531380753138075,qvin/1,8,0.7054673721340388,propter/2,8,0.6739679865206403,ivbeo,8,0.6802721088435374,facio,10,0.7401924500370096,totvs,9,0.7894736842105263,pontifex,8,0.6932409012131715,inqvio,10,0.8347245409015025,servo,11,0.844205679201842
inqvio,9,0.734094616639478,dies,9,0.7531380753138075,mors,8,0.7054673721340388,sanitas,8,0.6739679865206403,vervs,7,0.5952380952380952,mitto,10,0.7401924500370096,mitto,9,0.7894736842105263,gratia,8,0.6932409012131715,mos,10,0.8347245409015025,seqvor,11,0.844205679201842
aio,9,0.734094616639478,fero,9,0.7531380753138075,ocvlvs,8,0.7054673721340388,deniqve,7,0.5897219882055602,devs,7,0.5952380952380952,christianvs/2,10,0.7401924500370096,svvs,8,0.7017543859649122,tantvs,8,0.6932409012131715,svscipio,9,0.7512520868113522,infirmitas,10,0.7674597083653107
canto,9,0.734094616639478,dolor,9,0.7531380753138075,nox,7,0.6172839506172839,redeo/1,7,0.5897219882055602,doceo,7,0.5952380952380952,caelestis,10,0.7401924500370096,longvs,8,0.7017543859649122,converto,8,0.6932409012131715,nosco,8,0.667779632721202,coepio,10,0.7674597083653107
historia,8,0.6525285481239804,noster,8,0.6694560669456067,lvx,7,0.6172839506172839,transfero,7,0.5897219882055602,theodore/n1,7,0.5952380952380952,gratia,9,0.6661732050333087,voco,8,0.7017543859649122,pavper,8,0.6932409012131715,videlicet,8,0.667779632721202,dvco,9,0.6907137375287797
doceo,8,0.6525285481239804,qvoqve,8,0.6694560669456067,statim,7,0.6172839506172839,cavsa,7,0.5897219882055602,ibi,7,0.5952380952380952,mvltvs,9,0.6661732050333087,sicvt/1,8,0.7017543859649122,solvs,7,0.6065857885615251,ago,8,0.667779632721202,verbvm,8,0.6139677666922486
qvondam,8,0.6525285481239804,antistes,8,0.6694560669456067,nvnc,6,0.5291005291005291,ibi,6,0.5054759898904801,romanvs/a,7,0.5952380952380952,ivxta/1,9,0.6661732050333087,magnvs,8,0.7017543859649122,divinvs/2,7,0.6065857885615251,lingva,8,0.667779632721202,soleo,8,0.6139677666922486
terra,8,0.6525285481239804,contingo/1,8,0.6694560669456067,infirmitas,6,0.5291005291005291,reverto,6,0.5054759898904801,vsqve,7,0.5952380952380952,do,9,0.6661732050333087,do,8,0.7017543859649122,video,7,0.6065857885615251,rex,7,0.5843071786310517,vivo,8,0.6139677666922486
vervs,7,0.5709624796084829,inqvio,8,0.6694560669456067,locvs,6,0.5291005291005291,terra,6,0.5054759898904801,civitas,7,0.5952380952380952,vir,8,0.5921539600296076,qvoqve,7,0.6140350877192983,videlicet,7,0.6065857885615251,advenio,7,0.5843071786310517,vocabvlvm,8,0.6139677666922486
disco,7,0.5709624796084829,loqvor,8,0.6694560669456067,ardeo,6,0.5291005291005291,valeo,6,0.5054759898904801,voco,7,0.5952380952380952,qvin/1,8,0.5921539600296076,saepe,7,0.6140350877192983,percipio,7,0.6065857885615251,servo,7,0.5843071786310517,virtvs,8,0.6139677666922486
vita,7,0.5709624796084829,teneo,8,0.6694560669456067,dvo,6,0.5291005291005291,advenio,6,0.5054759898904801,res,7,0.5952380952380952,tantvs,8,0.5921539600296076,civitas,7,0.6140350877192983,ivxta/1,7,0.6065857885615251,vivo,7,0.5843071786310517,pver,8,0.6139677666922486
do,7,0.5709624796084829,congregatio,8,0.6694560669456067,gavdivm,6,0.5291005291005291,praecipio,6,0.5054759898904801,imperivm,7,0.5952380952380952,cvnctvs,8,0.5921539600296076,mare,7,0.6140350877192983,apostolicvs,7,0.6065857885615251,consvetvdo,7,0.5843071786310517,interrogo,8,0.6139677666922486
virtvs,7,0.5709624796084829,ecclesia,7,0.5857740585774058,debeo,6,0.5291005291005291,maneo,6,0.5054759898904801,dominvs,7,0.5952380952380952,doctrina,8,0.5921539600296076,genvs/1,7,0.6140350877192983,gloria,7,0.6065857885615251,nolo,7,0.5843071786310517,rex,7,0.5372217958557176
annvs,7,0.5709624796084829,videlicet,7,0.5857740585774058,actvs/3,6,0.5291005291005291,ivbeo,6,0.5054759898904801,praedico/3,7,0.5952380952380952,sacramentvm,8,0.5921539600296076,valeo,7,0.6140350877192983,vrbs,7,0.6065857885615251,celebratio,7,0.5843071786310517,christvs/n,7,0.5372217958557176
saecvlvm,7,0.5709624796084829,nomen,7,0.5857740585774058,amplvs,6,0.5291005291005291,crvx,6,0.5054759898904801,virgo,7,0.5952380952380952,exercitvs/1,8,0.5921539600296076,septentrionalis,7,0.6140350877192983,prior,6,0.5199306759098787,perficio,7,0.5843071786310517,nvper,7,0.5372217958557176
interrogo,7,0.5709624796084829,terra,7,0.5857740585774058,malignvs,6,0.5291005291005291,praedico/3,6,0.5054759898904801,qvoqve,6,0.5102040816326531,salvs,7,0.5181347150259068,nox,7,0.6140350877192983,maxime,6,0.5199306759098787,noster,6,0.5008347245409015,religiosvs,7,0.5372217958557176
prosvm/1,7,0.5709624796084829,coepio,7,0.5857740585774058,qvoqve,5,0.4409171075837742,qvasi/1,6,0.5054759898904801,disco,6,0.5102040816326531,praesvm/1,7,0.5181347150259068,facio,7,0.6140350877192983,cognosco,6,0.5199306759098787,disco,6,0.5008347245409015,devs,7,0.5372217958557176
frater,6,0.48939641109298526,tantvs,7,0.5857740585774058,omnis,5,0.4409171075837742,semper,6,0.5054759898904801,revereor,6,0.5102040816326531,dono,7,0.5181347150259068,christvs/n,6,0.5263157894736842,cvro,6,0.5199306759098787,revereor,6,0.5008347245409015,terra,7,0.5372217958557176
qvia,6,0.48939641109298526,donec,7,0.5857740585774058,scio,5,0.4409171075837742,benedictio,6,0.5054759898904801,regio,6,0.5102040816326531,mos,7,0.5181347150259068,disco,6,0.5263157894736842,romanvs/a,6,0.5199306759098787,mevs,6,0.5008347245409015,cognosco,6,0.4604758250191865
adhvc,6,0.48939641109298526,semper,7,0.5857740585774058,volo/3,5,0.4409171075837742,sollicitvs,5,0.42122999157540014,monasterivm,6,0.5102040816326531,regina,7,0.5181347150259068,fides/2,6,0.5263157894736842,dico/2,6,0.5199306759098787,doctrina,6,0.5008347245409015,venio,6,0.4604758250191865
accipio,6,0.48939641109298526,doceo,6,0.502092050209205,tertivs,5,0.4409171075837742,qvoqve,5,0.42122999157540014,cvnctvs,6,0.5102040816326531,manvs/1,7,0.5181347150259068,terra,6,0.5263157894736842,veritas,6,0.5199306759098787,nihil,6,0.5008347245409015,opvs/1,6,0.4604758250191865
aeternvs,6,0.48939641109298526,nobilis/2,6,0.502092050209205,dominvs,5,0.4409171075837742,revereor,5,0.42122999157540014,gradvs,6,0.5102040816326531,vita,6,0.44411547002220575,fons,6,0.5263157894736842,liber/1,6,0.5199306759098787,semper,6,0.5008347245409015,do,6,0.4604758250191865
doctor,6,0.48939641109298526,nox,6,0.502092050209205,morior,5,0.4409171075837742,invenio,5,0.42122999157540014,minister/1,6,0.5102040816326531,ago,6,0.44411547002220575,hora,6,0.5263157894736842,totvs,6,0.5199306759098787,observatio,6,0.5008347245409015,caelestis,6,0.4604758250191865
dvco,6,0.48939641109298526,do,6,0.502092050209205,dvm/2,5,0.4409171075837742,svpersvm/1,5,0.42122999157540014,aliqvot,6,0.5102040816326531,finis,6,0.44411547002220575,sedes,6,0.5263157894736842,exemplvm,6,0.5199306759098787,sabbatvm,6,0.5008347245409015,homo,6,0.4604758250191865
offero,6,0.48939641109298526,exemplvm,6,0.502092050209205,converto,5,0.4409171075837742,ministerivm,5,0.42122999157540014,venerabilis,5,0.4251700680272109,totvs,6,0.44411547002220575,dvx,6,0.5263157894736842,ocvlvs,6,0.5199306759098787,prior,5,0.41736227045075125,ordino,6,0.4604758250191865
manvs/1,6,0.48939641109298526,amor,6,0.502092050209205,ecce,5,0.4409171075837742,nomen,5,0.42122999157540014,praesens,5,0.4251700680272109,regivs,6,0.44411547002220575,institvo,5,0.43859649122807015,ecclesiasticvs,5,0.43327556325823224,lego/2,5,0.41736227045075125,anima,6,0.4604758250191865
ivvenis/2,6,0.48939641109298526,sepvlcrvm,6,0.502092050209205,qvaero,5,0.4409171075837742,ivxta/1,5,0.42122999157540014,primvs,5,0.4251700680272109,relinqvo,6,0.44411547002220575,provincia,5,0.43859649122807015,bonvs,5,0.43327556325823224,probo,5,0.41736227045075125,institvo,5,0.38372985418265537
gavdeo,6,0.48939641109298526,sacer,6,0.502092050209205,ascendo,5,0.4409171075837742,nox,5,0.42122999157540014,baptizo,5,0.4251700680272109,primo,6,0.44411547002220575,video,5,0.43859649122807015,dignvs,5,0.43327556325823224,omnis,5,0.41736227045075125,condo,5,0.38372985418265537
devs,5,0.40783034257748774,appareo,6,0.502092050209205,desidero,4,0.3527336860670194,sicvt/1,5,0.42122999157540014,postqvam,5,0.4251700680272109,nihil,6,0.44411547002220575,venio,5,0.43859649122807015,papa,5,0.43327556325823224,veritas,5,0.41736227045075125,siqvis,5,0.38372985418265537
abba,5,0.40783034257748774,salvs,5,0.41841004184100417,disco,4,0.3527336860670194,inqvio,5,0.42122999157540014,cavsa,5,0.4251700680272109,pax,6,0.44411547002220575,pervenio,5,0.43859649122807015,pater,5,0.43327556325823224,qvaestio,5,0.41736227045075125,aqva,5,0.38372985418265537
affero,5,0.40783034257748774,memoria,5,0.41841004184100417,videlicet,4,0.3527336860670194,coepio,5,0.42122999157540014,eo/1,5,0.4251700680272109,bellvm,6,0.44411547002220575,ago,5,0.43859649122807015,pars,5,0.43327556325823224,contra/2,5,0.41736227045075125,redeo/1,5,0.38372985418265537
erga,5,0.40783034257748774,invenio,5,0.41841004184100417,valeo,4,0.3527336860670194,ibidem,5,0.42122999157540014,monachvs,5,0.4251700680272109,villa,6,0.44411547002220575,nomen,5,0.43859649122807015,fidelis/2,5,0.43327556325823224,respondeo,5,0.41736227045075125,contra/2,5,0.38372985418265537
