,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
lego/2,11,0.8358662613981762,vsqve,12,0.880410858400587,iste,10,0.9025270758122743,ergo/2,10,0.8264462809917356,habeo,11,0.9031198686371099,angli/n,11,0.9725906277630416,apostolicvs,8,0.7611798287345386,valeo,10,0.7980845969672785,accipio,10,0.8431703204047217,angli/n,10,0.8143322475570033
ago,11,0.8358662613981762,pervenio,12,0.880410858400587,dvco,10,0.9025270758122743,vocabvlvm,10,0.8264462809917356,ivxta/1,11,0.9031198686371099,pars,11,0.9725906277630416,vervs,7,0.6660323501427212,advenio,10,0.7980845969672785,vivo,10,0.8431703204047217,accipio,10,0.8143322475570033
pono,11,0.8358662613981762,dies,12,0.880410858400587,debeo,9,0.8122743682310468,annvs,10,0.8264462809917356,mitto,11,0.9031198686371099,mare,10,0.8841732979664014,papa,7,0.6660323501427212,ibidem,10,0.7980845969672785,videlicet,9,0.7588532883642496,fero,10,0.8143322475570033
oratio,11,0.8358662613981762,christvs/n,11,0.8070432868672046,intro/1,8,0.7220216606498195,venio,9,0.743801652892562,caelestis,11,0.9031198686371099,qvidam,10,0.8841732979664014,littera,7,0.6660323501427212,soleo,9,0.7182761372705506,vsqve,9,0.7588532883642496,homo,10,0.8143322475570033
ecclesia,10,0.7598784194528876,disco,11,0.8070432868672046,tantvs,8,0.7220216606498195,aeternvs,9,0.743801652892562,dies,10,0.8210180623973727,valeo,10,0.8841732979664014,gratia,7,0.6660323501427212,praecipio,9,0.7182761372705506,tantvs,9,0.7588532883642496,svscipio,10,0.8143322475570033
vivo,10,0.7598784194528876,voco,11,0.8070432868672046,lvx,8,0.7220216606498195,mors,9,0.743801652892562,religio,10,0.8210180623973727,contra/2,10,0.8841732979664014,pars,7,0.6660323501427212,transfero,9,0.7182761372705506,pater,8,0.6745362563237773,gens,9,0.7328990228013029
maneo,10,0.7598784194528876,do,11,0.8070432868672046,canto,8,0.7220216606498195,anima,9,0.743801652892562,seqvor,10,0.8210180623973727,sedes,10,0.8841732979664014,magnvs,7,0.6660323501427212,rogo,9,0.7182761372705506,credo,8,0.6745362563237773,video,9,0.7328990228013029
refero,9,0.6838905775075987,teneo,11,0.8070432868672046,narro,8,0.7220216606498195,religiosvs,8,0.6611570247933884,devs,9,0.7389162561576355,qvoqve,9,0.7957559681697612,coepio,7,0.6660323501427212,ivxta/1,8,0.6384676775738228,advenio,8,0.6745362563237773,dominvs,9,0.7328990228013029
opvs/1,9,0.6838905775075987,regno,10,0.7336757153338225,nvnc,7,0.631768953068592,cognosco,8,0.6611570247933884,voco,9,0.7389162561576355,venio,9,0.7957559681697612,converto,7,0.6660323501427212,intro/1,8,0.6384676775738228,contra/2,8,0.6745362563237773,regnvm,9,0.7328990228013029
adhvc,9,0.6838905775075987,simvl/1,9,0.6603081438004402,religiosvs,7,0.631768953068592,mvltvs,8,0.6611570247933884,verbvm,8,0.6568144499178982,deniqve,9,0.7957559681697612,gloria,7,0.6660323501427212,hodie,8,0.6384676775738228,respondeo,8,0.6745362563237773,noster,8,0.6514657980456027
cvmqve,9,0.6838905775075987,pars,9,0.6603081438004402,qvoqve,7,0.631768953068592,voco,8,0.6611570247933884,frater,8,0.6568144499178982,locvs,9,0.7957559681697612,nosco,6,0.570884871550904,propter/2,8,0.6384676775738228,ivdicivm,8,0.6745362563237773,fides/2,8,0.6514657980456027
dolor,9,0.6838905775075987,civitas,9,0.6603081438004402,ibi,7,0.631768953068592,soleo,8,0.6611570247933884,totvs,8,0.6568144499178982,totvs,9,0.7957559681697612,maxime,6,0.570884871550904,sanitas,8,0.6384676775738228,aio,8,0.6745362563237773,locvs,8,0.6514657980456027
constrvo,9,0.6838905775075987,cavsa,9,0.6603081438004402,opvs/1,7,0.631768953068592,qvia,8,0.6611570247933884,nihil,8,0.6568144499178982,sanctvs,8,0.707338638373121,cognosco,6,0.570884871550904,refero,7,0.5586592178770949,nosco,7,0.5902192242833052,do,8,0.6514657980456027
sedvlvs,8,0.60790273556231,mvltvs,8,0.586940572267058,pervenio,7,0.631768953068592,ieivnivm,8,0.6611570247933884,prior,7,0.5747126436781609,longvs,8,0.707338638373121,qvoqve,6,0.570884871550904,reverto,7,0.5586592178770949,disco,7,0.5902192242833052,qvin/1,8,0.6514657980456027
vita,8,0.60790273556231,recipio,8,0.586940572267058,qvia,7,0.631768953068592,congregatio,8,0.6611570247933884,vir,7,0.5747126436781609,ivxta/1,8,0.707338638373121,doceo,6,0.570884871550904,pono,7,0.5586592178770949,veritas,7,0.5902192242833052,potivs,8,0.6514657980456027
libellvs,8,0.60790273556231,qvoqve,7,0.5135730007336757,adhvc,7,0.631768953068592,prior,7,0.5785123966942148,venio,7,0.5747126436781609,advenio,8,0.707338638373121,nonnvllvs,6,0.570884871550904,redeo/1,7,0.5586592178770949,nomen,7,0.5902192242833052,differo,8,0.6514657980456027
certvs,8,0.60790273556231,ago,7,0.5135730007336757,volo/3,7,0.631768953068592,refero,7,0.5785123966942148,gratia,7,0.5747126436781609,accipio,8,0.707338638373121,romanvs/a,6,0.570884871550904,narro,7,0.5586592178770949,lingva,7,0.5902192242833052,nvnc,7,0.5700325732899023
infirmitas,8,0.60790273556231,ivxta/1,7,0.5135730007336757,aspicio,6,0.5415162454873645,videlicet,7,0.5785123966942148,qvia,7,0.5747126436781609,terra,7,0.618921308576481,veritas,6,0.570884871550904,exeo/1,7,0.5586592178770949,regnvm,7,0.5902192242833052,hora,7,0.5700325732899023
