,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,,,Topic11,,,Topic12,,,Topic13,,,Topic14,,,Topic15,,,Topic16,,,Topic17,,,Topic18,,,Topic19,,,Topic20,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
habeo,3,0.5474452554744526,sedvlvs,3,0.5128205128205128,episcopvs,4,0.6896551724137931,ago,3,0.5607476635514018,stvdivm,3,0.5586592178770949,aio,5,0.684931506849315,svvs,4,0.628930817610063,doceo,3,0.5136986301369862,oro,3,0.5253940455341506,video,3,0.5145797598627788,voco,3,0.47393364928909953,gero,4,0.6339144215530903,intvs/2,4,0.6568144499178982,omnis,3,0.5016722408026756,dvco,4,0.5979073243647235,manvs/1,4,0.6756756756756757,aqva,3,0.5102040816326531,longvs,3,0.5263157894736842,terra,3,0.5067567567567568,mos,4,0.5772005772005772
fero,3,0.5474452554744526,vervs,3,0.5128205128205128,pono,4,0.6896551724137931,nvllvs,3,0.5607476635514018,solvs,3,0.5586592178770949,gens,4,0.547945205479452,litvs,4,0.628930817610063,venerabilis,3,0.5136986301369862,converto,3,0.5253940455341506,alivs,3,0.5145797598627788,adhvc,3,0.47393364928909953,cavsa,4,0.6339144215530903,membrvm,4,0.6568144499178982,theodore/n1,3,0.5016722408026756,consvo,4,0.5979073243647235,excito/1,4,0.6756756756756757,nimirvm,3,0.5102040816326531,modvs,3,0.5263157894736842,contra/2,3,0.5067567567567568,seqvor,4,0.5772005772005772
ergo/2,3,0.5474452554744526,bonvs,3,0.5128205128205128,dies,4,0.6896551724137931,aspicio,3,0.5607476635514018,exsisto,3,0.5586592178770949,probo,4,0.547945205479452,voco,4,0.628930817610063,reverto,3,0.5136986301369862,cotidie,3,0.5253940455341506,opvs/1,3,0.5145797598627788,redeo/1,3,0.47393364928909953,perficio,4,0.6339144215530903,exeo/1,4,0.6568144499178982,videlicet,3,0.5016722408026756,svscipio,4,0.5979073243647235,compositvm,4,0.6756756756756757,donec,3,0.5102040816326531,lingva,3,0.5263157894736842,vsvs,3,0.5067567567567568,sanctvs,3,0.4329004329004329
dvm/2,3,0.5474452554744526,doceo,3,0.5128205128205128,maneo,4,0.6896551724137931,tantvs,3,0.5607476635514018,cantvari/n,3,0.5586592178770949,episcopvs,4,0.547945205479452,qvidam,4,0.628930817610063,pervenio,3,0.5136986301369862,sors,3,0.5253940455341506,pono,3,0.5145797598627788,accipio,3,0.47393364928909953,postmodvm,4,0.6339144215530903,prior,3,0.49261083743842365,ibi,3,0.5016722408026756,rapio,4,0.5979073243647235,nvnc,3,0.5067567567567568,iste,3,0.5102040816326531,fero,3,0.5263157894736842,virtvs,3,0.5067567567567568,maxime,3,0.4329004329004329
pontificatvs,3,0.5474452554744526,venio,3,0.5128205128205128,vrbs,4,0.6896551724137931,aeternvs,3,0.5607476635514018,ervdio,3,0.5586592178770949,vter/4,4,0.547945205479452,soleo,4,0.628930817610063,certvs,3,0.5136986301369862,exercitvs/1,3,0.5253940455341506,lingva,3,0.5145797598627788,peto,3,0.47393364928909953,aliqvot,4,0.6339144215530903,tvvs,3,0.49261083743842365,reverto,3,0.5016722408026756,rex,3,0.4484304932735426,affero,3,0.5067567567567568,oratio,3,0.5102040816326531,remaneo,3,0.5263157894736842,primo,3,0.5067567567567568,refero,3,0.4329004329004329
labor/1,3,0.5474452554744526,dico/2,3,0.5128205128205128,historia,3,0.5172413793103449,regnvm,3,0.5607476635514018,nonnvllvs,3,0.5586592178770949,contra/2,4,0.547945205479452,qvia,4,0.628930817610063,mevs,3,0.5136986301369862,virgo,3,0.5253940455341506,do,3,0.5145797598627788,ergo/2,3,0.47393364928909953,videlicet,3,0.4754358161648178,devs,3,0.49261083743842365,frater,3,0.5016722408026756,refero,3,0.4484304932735426,percipio,3,0.5067567567567568,conversatio,3,0.5102040816326531,capvt,3,0.5263157894736842,converto,3,0.5067567567567568,simvl/1,3,0.4329004329004329
qvodammodo,3,0.5474452554744526,locvs,3,0.5128205128205128,solvs,3,0.5172413793103449,donec,3,0.5607476635514018,alivs,3,0.5586592178770949,incipio,4,0.547945205479452,vtpote,4,0.628930817610063,ardeo,3,0.5136986301369862,qvisqvam,3,0.5253940455341506,servo,3,0.5145797598627788,familia,3,0.47393364928909953,pater,3,0.4754358161648178,salvs,3,0.49261083743842365,habeo,3,0.5016722408026756,cognosco,3,0.4484304932735426,monasterivm,3,0.5067567567567568,rogo,3,0.5102040816326531,dominvs,3,0.5263157894736842,annvs,3,0.5067567567567568,doceo,3,0.4329004329004329
actvs/3,3,0.5474452554744526,qvia,3,0.5128205128205128,sedvlvs,3,0.5172413793103449,caro/1,3,0.5607476635514018,pater,3,0.5586592178770949,hodie,4,0.547945205479452,hora,4,0.628930817610063,adhvc,3,0.5136986301369862,vbicvmqve/2,3,0.5253940455341506,caelvm/1,3,0.5145797598627788,domvs,3,0.47393364928909953,monasterivm,3,0.4754358161648178,ecclesia,3,0.49261083743842365,mevs,3,0.5016722408026756,deniqve,3,0.4484304932735426,noctvrnvs,3,0.5067567567567568,anima,3,0.5102040816326531,regnvm,3,0.5263157894736842,nihil,3,0.5067567567567568,papa,3,0.4329004329004329
cesso,3,0.5474452554744526,tertivs,3,0.5128205128205128,devs,3,0.5172413793103449,svpra/2,3,0.5607476635514018,percipio,3,0.5586592178770949,tantvs,4,0.547945205479452,lingva,4,0.628930817610063,intro/1,3,0.5136986301369862,nvper,2,0.3502626970227671,relinqvo,3,0.5145797598627788,mos,3,0.47393364928909953,ago,3,0.4754358161648178,institvo,3,0.49261083743842365,svvs,3,0.5016722408026756,secedo/1,3,0.4484304932735426,accipio,3,0.5067567567567568,libero,3,0.5102040816326531,maneo,3,0.5263157894736842,anima,3,0.5067567567567568,deniqve,3,0.4329004329004329
malignvs,3,0.5474452554744526,talis,3,0.5128205128205128,video,3,0.5172413793103449,teneo,3,0.5607476635514018,exinde,3,0.5586592178770949,vester,4,0.547945205479452,sedes,4,0.628930817610063,do,3,0.5136986301369862,prior,2,0.3502626970227671,nolo,3,0.5145797598627788,caelestis,3,0.47393364928909953,credo,3,0.4754358161648178,deniqve,3,0.49261083743842365,permaneo,3,0.5016722408026756,facio,3,0.4484304932735426,do,3,0.5067567567567568,ivdicivm,3,0.5102040816326531,doctor,3,0.5263157894736842,hostis,3,0.5067567567567568,episcopvs,3,0.4329004329004329
finio,3,0.5474452554744526,capvt,3,0.5128205128205128,libellvs,3,0.5172413793103449,revoco,3,0.5607476635514018,gratia,3,0.5586592178770949,mos,4,0.547945205479452,nvnc,3,0.4716981132075472,volo/3,3,0.5136986301369862,nvnc,2,0.3502626970227671,sperno,3,0.5145797598627788,possessio,3,0.47393364928909953,nomen,3,0.4754358161648178,infirmitas,3,0.49261083743842365,redeo/1,3,0.5016722408026756,fero,3,0.4484304932735426,volo/3,3,0.5067567567567568,agmen,3,0.5102040816326531,debeo,3,0.5263157894736842,signvm,3,0.5067567567567568,mvltvs,3,0.4329004329004329
desidero,2,0.36496350364963503,morior,3,0.5128205128205128,svpernvs,3,0.5172413793103449,sacro,3,0.5607476635514018,mando/2,3,0.5586592178770949,doctrina,4,0.547945205479452,solvs,3,0.4716981132075472,ivbeo,3,0.5136986301369862,vervs,2,0.3502626970227671,parvvs/2,3,0.5145797598627788,ostendo,3,0.47393364928909953,mvltvs,3,0.4754358161648178,svvs,3,0.49261083743842365,relinqvo,3,0.5016722408026756,vivo,3,0.4484304932735426,res,3,0.5067567567567568,perficio,3,0.5102040816326531,cogito,3,0.5263157894736842,sacer,3,0.5067567567567568,vter/4,3,0.4329004329004329
sedvlvs,2,0.36496350364963503,confero,3,0.5128205128205128,qvondam,3,0.5172413793103449,observatio,3,0.5607476635514018,excipio,3,0.5586592178770949,revereor,3,0.410958904109589,scribo,3,0.4716981132075472,virtvs,3,0.5136986301369862,cognosco,2,0.3502626970227671,labor/1,3,0.5145797598627788,svpra/2,3,0.47393364928909953,facio,3,0.4754358161648178,mvltvs,3,0.49261083743842365,avfero,3,0.5016722408026756,regnvm,3,0.4484304932735426,sto,3,0.5067567567567568,nvmqvam,3,0.5102040816326531,homo,3,0.5263157894736842,narro,3,0.5067567567567568,britanni/n,3,0.4329004329004329
vervs,2,0.36496350364963503,idolvm,3,0.5128205128205128,qvidam,3,0.5172413793103449,gloriosvs,2,0.3738317757009346,veritas,3,0.5586592178770949,venerabilis,3,0.410958904109589,regio,3,0.4716981132075472,nolo,3,0.5136986301369862,cvro,2,0.3502626970227671,intelligo,3,0.5145797598627788,constrvo,3,0.47393364928909953,primvs,3,0.4754358161648178,voco,3,0.49261083743842365,caelestis,3,0.5016722408026756,ibidem,3,0.4484304932735426,regnvm,3,0.5067567567567568,svrgo,3,0.5102040816326531,placeo,3,0.5263157894736842,sedeo,3,0.5067567567567568,res,3,0.4329004329004329
sollicitvs,2,0.36496350364963503,mors,3,0.5128205128205128,recipio,3,0.5172413793103449,noster,2,0.3738317757009346,pono,3,0.5586592178770949,venio,3,0.410958904109589,consilivm,3,0.4716981132075472,ivvo,3,0.5136986301369862,doceo,2,0.3502626970227671,ostendo,3,0.5145797598627788,vaco,3,0.47393364928909953,servo,3,0.4754358161648178,terra,3,0.49261083743842365,dominicvs,3,0.5016722408026756,oratio,3,0.4484304932735426,religio,3,0.5067567567567568,tormentvm,3,0.5102040816326531,devoveo,3,0.5263157894736842,bellvm,3,0.5067567567567568,regivs,3,0.4329004329004329
cognosco,2,0.36496350364963503,nihil,3,0.5128205128205128,intro/1,3,0.5172413793103449,vir,2,0.3738317757009346,morior,3,0.5586592178770949,svccessor,3,0.410958904109589,affero,3,0.4716981132075472,loqvor,3,0.5136986301369862,ecclesia,2,0.3502626970227671,rvrsvs,3,0.5145797598627788,sepelio,3,0.47393364928909953,potivs,3,0.4754358161648178,nobilis/2,3,0.49261083743842365,postqvam,3,0.5016722408026756,dvm/2,3,0.4484304932735426,caelestis,3,0.5067567567567568,rapio,3,0.5102040816326531,probo,2,0.3508771929824561,veneratio,3,0.5067567567567568,vocabvlvm,3,0.4329004329004329
qvoqve,2,0.36496350364963503,hostis,3,0.5128205128205128,ivbeo,3,0.5172413793103449,religiosvs,2,0.3738317757009346,imbvo,3,0.5586592178770949,veritas,3,0.410958904109589,vnde/1,3,0.4716981132075472,dispono,3,0.5136986301369862,cantvari/n,2,0.3502626970227671,pascha,3,0.5145797598627788,abeo/1,3,0.47393364928909953,religio,3,0.4754358161648178,redeo/1,3,0.49261083743842365,parvvs/2,3,0.5016722408026756,oro,3,0.4484304932735426,sermo,3,0.5067567567567568,aliqvando,3,0.5102040816326531,amplector,2,0.3508771929824561,rex,2,0.33783783783783783,incarnatio,3,0.4329004329004329
monasterivm,2,0.36496350364963503,vvltvs,3,0.5128205128205128,regivs,3,0.5172413793103449,dignvs,2,0.3738317757009346,gloriosvs,2,0.37243947858473,nomen,3,0.410958904109589,genvs/1,3,0.4716981132075472,addvco,3,0.5136986301369862,regio,2,0.3502626970227671,sedeo,3,0.5145797598627788,vicvs,3,0.47393364928909953,relinqvo,3,0.4754358161648178,tres,3,0.49261083743842365,gravis,3,0.5016722408026756,debeo,3,0.4484304932735426,profero,3,0.5067567567567568,rex,2,0.3401360544217687,vervs,2,0.3508771929824561,angli/n,2,0.33783783783783783,apostolvs,3,0.4329004329004329
pvlcher,2,0.36496350364963503,praedico/1,3,0.5128205128205128,novvs,3,0.5172413793103449,cvro,2,0.3738317757009346,presbyter,2,0.37243947858473,terra,3,0.410958904109589,fons,3,0.4716981132075472,sedeo,3,0.5136986301369862,alivs,2,0.3502626970227671,invicem,3,0.5145797598627788,sanitas,3,0.47393364928909953,mos,3,0.4754358161648178,saecvlvm,3,0.49261083743842365,teneo,3,0.5016722408026756,ostendo,3,0.4484304932735426,qvomodo/1,3,0.5067567567567568,christvs/n,2,0.3401360544217687,nosco,2,0.3508771929824561,nvnc,2,0.33783783783783783,amor,3,0.4329004329004329
vmqvam,2,0.36496350364963503,sedeo,3,0.5128205128205128,miracvlvm,3,0.5172413793103449,videlicet,2,0.3738317757009346,nvnc,2,0.37243947858473,qvaestio,3,0.410958904109589,aer,3,0.4716981132075472,pavlinvs/n1,3,0.5136986301369862,permitto,2,0.3502626970227671,bellvm,3,0.5145797598627788,devenio,3,0.47393364928909953,deprecor,3,0.4754358161648178,pecvnia,3,0.49261083743842365,minister/1,3,0.5016722408026756,dolor,3,0.4484304932735426,hostis,3,0.5067567567567568,tvvs,2,0.3401360544217687,pivs,2,0.3508771929824561,nosco,2,0.33783783783783783,conseqvor,3,0.4329004329004329
valeo,2,0.36496350364963503,exercitvs/1,3,0.5128205128205128,cotidie,3,0.5172413793103449,ibi,2,0.3738317757009346,meditor,2,0.37243947858473,advenio,3,0.410958904109589,lvcidvs,3,0.4716981132075472,qvaero,3,0.5136986301369862,pervenio,2,0.3502626970227671,divido,3,0.5145797598627788,vestigivm,3,0.47393364928909953,cvnctvs,3,0.4754358161648178,narro,3,0.49261083743842365,monachvs,3,0.5016722408026756,constrvo,3,0.4484304932735426,sacer,3,0.5067567567567568,verbvm,2,0.3401360544217687,rego,2,0.3508771929824561,bonvs,2,0.33783783783783783,oswald/n1,3,0.4329004329004329
soleo,2,0.36496350364963503,perimo,3,0.5128205128205128,transeo/1,3,0.5172413793103449,invenio,2,0.3738317757009346,amplector,2,0.37243947858473,volo/3,3,0.410958904109589,adhvc,3,0.4716981132075472,pergo,3,0.5136986301369862,monasterivm,2,0.3502626970227671,svvm,3,0.5145797598627788,prior,2,0.315955766192733,conversatio,3,0.4754358161648178,clamo,3,0.49261083743842365,gloriosvs,2,0.33444816053511706,ivdicivm,3,0.4484304932735426,minister/1,3,0.5067567567567568,refero,2,0.3401360544217687,venerabilis,2,0.3508771929824561,romanvs/a,2,0.33783783783783783,ecclesiasticvs,2,0.2886002886002886
ardeo,2,0.36496350364963503,vtilitas,3,0.5128205128205128,actvs/3,3,0.5172413793103449,itaqve,2,0.3738317757009346,scriptvra,2,0.37243947858473,familia,3,0.410958904109589,longe,3,0.4716981132075472,provincia,2,0.3424657534246575,veritas,2,0.3502626970227671,oswald/n1,3,0.5145797598627788,stvdivm,2,0.315955766192733,seqvor,3,0.4754358161648178,amplvs,3,0.49261083743842365,tvvs,2,0.33444816053511706,perdvco,3,0.4484304932735426,dormio,3,0.5067567567567568,reverto,2,0.3401360544217687,romanvs/a,2,0.3508771929824561,praesvm/1,2,0.33783783783783783,prior,2,0.2886002886002886
prope/2,2,0.36496350364963503,desidero,2,0.3418803418803419,nihil,3,0.5172413793103449,certvs,2,0.3738317757009346,bonvs,2,0.37243947858473,interpres,3,0.410958904109589,contingo/1,3,0.4716981132075472,video,2,0.3424657534246575,mevs,2,0.3502626970227671,gloriosvs,2,0.34305317324185247,vervs,2,0.315955766192733,filivs,3,0.4754358161648178,appareo,3,0.49261083743842365,avdio,2,0.33444816053511706,virgo,3,0.4484304932735426,nvmqvam,3,0.5067567567567568,deniqve,2,0.3401360544217687,insvla,2,0.3508771929824561,invenio,2,0.33783783783783783,solvs,2,0.2886002886002886
res,2,0.36496350364963503,lego/2,2,0.3418803418803419,nego,3,0.5172413793103449,pvlcher,2,0.3738317757009346,sollicitvs,2,0.37243947858473,donec,3,0.410958904109589,perhibeo,3,0.4716981132075472,videlicet,2,0.3424657534246575,locvs,2,0.3502626970227671,rex,2,0.34305317324185247,theodore/n1,2,0.315955766192733,via,3,0.4754358161648178,disciplina,3,0.49261083743842365,vervs,2,0.33444816053511706,consecro,3,0.4484304932735426,vicissim,3,0.5067567567567568,monasterivm,2,0.3401360544217687,ministerivm,2,0.3508771929824561,consilivm,2,0.33783783783783783,cvro,2,0.2886002886002886
egredior,2,0.36496350364963503,nvnc,2,0.3418803418803419,spiritvs,3,0.5172413793103449,valeo,2,0.3738317757009346,pivs,2,0.37243947858473,ivbeo,3,0.410958904109589,finis,3,0.4716981132075472,opvs/1,2,0.3424657534246575,flvvivs,2,0.3502626970227671,historia,2,0.34305317324185247,ervdio,2,0.315955766192733,prex,3,0.4754358161648178,historia,2,0.3284072249589491,qvoqve,2,0.33444816053511706,statim,3,0.4484304932735426,exeo/1,3,0.5067567567567568,scio,2,0.3401360544217687,qvalis/1,2,0.3508771929824561,affero,2,0.33783783783783783,archiepiscopvs,2,0.2886002886002886
magnitvdo,2,0.36496350364963503,dignvs,2,0.3418803418803419,loqvor,3,0.5172413793103449,aetas,2,0.3738317757009346,memoro,2,0.37243947858473,ritvs,3,0.410958904109589,qvamvis/1,3,0.4716981132075472,episcopvs,2,0.3424657534246575,ardeo,2,0.3502626970227671,maxime,2,0.34305317324185247,video,2,0.315955766192733,eo/1,3,0.4754358161648178,nvnc,2,0.3284072249589491,papa,2,0.33444816053511706,appareo,3,0.4484304932735426,somnvs,3,0.5067567567567568,nomen,2,0.3401360544217687,antistes,2,0.3508771929824561,episcopvs,2,0.33783783783783783,venerabilis,2,0.2886002886002886
tres,2,0.36496350364963503,simvl/1,2,0.3418803418803419,cor,3,0.5172413793103449,recipio,2,0.3738317757009346,simvl/1,2,0.37243947858473,annvs,3,0.410958904109589,dono,3,0.4716981132075472,condo,2,0.3424657534246575,nobilis/2,2,0.3502626970227671,devs,2,0.34305317324185247,videlicet,2,0.315955766192733,faveo,3,0.4754358161648178,sanctvs,2,0.3284072249589491,invenio,2,0.33444816053511706,diligo/3,3,0.4484304932735426,emendo,3,0.5067567567567568,mvltvs,2,0.3401360544217687,habeo,2,0.3508771929824561,proximvs,2,0.33783783783783783,video,2,0.2886002886002886
dominvs,2,0.36496350364963503,alivs,2,0.3418803418803419,ecce,3,0.5172413793103449,redeo/1,2,0.3738317757009346,cetervs,2,0.37243947858473,profero,3,0.410958904109589,hodie,3,0.4716981132075472,sancio,2,0.3424657534246575,fero,2,0.3502626970227671,rego,2,0.34305317324185247,nonnvllvs,2,0.315955766192733,disciplina,3,0.4754358161648178,vervs,2,0.3284072249589491,opvs/1,2,0.33444816053511706,corripio,3,0.4484304932735426,prior,2,0.33783783783783783,longvs,2,0.3401360544217687,britannia/n,2,0.3508771929824561,ministerivm,2,0.33783783783783783,invenio,2,0.2886002886002886
gavdivm,2,0.36496350364963503,praesvm/1,2,0.3418803418803419,signvm,3,0.5172413793103449,commvnis,2,0.3738317757009346,occasio,2,0.37243947858473,parvvs/2,3,0.410958904109589,patria,3,0.4716981132075472,pono,2,0.3424657534246575,ingredior,2,0.3502626970227671,institvo,2,0.34305317324185247,permitto,2,0.315955766192733,gens,2,0.31695721077654515,simvl/1,2,0.3284072249589491,sancio,2,0.33444816053511706,nvnc,2,0.29895366218236175,refero,2,0.33783783783783783,aperio,2,0.3401360544217687,nomen,2,0.3508771929824561,sacerdos,2,0.33783783783783783,vsqve,2,0.2886002886002886
promitto,2,0.36496350364963503,invenio,2,0.3418803418803419,desidero,2,0.3448275862068966,fero,2,0.3738317757009346,revereor,2,0.37243947858473,qvomodo/1,3,0.410958904109589,honor,3,0.4716981132075472,voco,2,0.3424657534246575,do,2,0.3502626970227671,provincia,2,0.34305317324185247,deniqve,2,0.315955766192733,cognosco,2,0.31695721077654515,revereor,2,0.3284072249589491,singvlvs,2,0.33444816053511706,nosco,2,0.29895366218236175,sollicitvs,2,0.33783783783783783,tergvm,2,0.3401360544217687,civitas,2,0.3508771929824561,scio,2,0.33783783783783783,colligo/3,2,0.2886002886002886
religio,2,0.36496350364963503,praefor,2,0.3418803418803419,vir,2,0.3448275862068966,cvmqve,2,0.3738317757009346,theodore/n1,2,0.37243947858473,filivs,3,0.410958904109589,perficio,3,0.4716981132075472,terra,2,0.3424657534246575,adeo/1,2,0.3502626970227671,regio,2,0.34305317324185247,opvs/1,2,0.315955766192733,qvoqve,2,0.31695721077654515,doceo,2,0.3284072249589491,terra,2,0.33444816053511706,cvra,2,0.29895366218236175,religiosvs,2,0.33783783783783783,qvia,2,0.3401360544217687,interpono,2,0.3508771929824561,siqvis,2,0.33783783783783783,svccessor,2,0.2886002886002886
vocabvlvm,2,0.36496350364963503,gratia,2,0.3418803418803419,qvoqve,2,0.3448275862068966,remaneo,2,0.3738317757009346,institvo,2,0.37243947858473,vaco,3,0.410958904109589,pascha,3,0.4716981132075472,vmqvam,2,0.3424657534246575,cvmqve,2,0.3502626970227671,venio,2,0.34305317324185247,lindissi/n,2,0.315955766192733,simvl/1,2,0.31695721077654515,vox,2,0.3284072249589491,sicvt/1,2,0.33444816053511706,notitia,2,0.29895366218236175,qvoqve,2,0.33783783783783783,primvs,2,0.3401360544217687,vnde/1,2,0.3508771929824561,qvondam,2,0.33783783783783783,mercii/n,2,0.2886002886002886
praedico/3,2,0.36496350364963503,qvalis/1,2,0.3418803418803419,venerabilis,2,0.3448275862068966,propter/2,2,0.3738317757009346,discipvlvs,2,0.37243947858473,exspecto,3,0.410958904109589,regno,3,0.4716981132075472,primvs,2,0.3424657534246575,vivo,2,0.3502626970227671,fides/2,2,0.34305317324185247,sancio,2,0.315955766192733,rego,2,0.31695721077654515,percipio,2,0.3284072249589491,impetro,2,0.33444816053511706,avctoritas,2,0.29895366218236175,pontifex,2,0.33783783783783783,incipio,2,0.3401360544217687,valeo,2,0.3508771929824561,voco,2,0.33783783783783783,frater,2,0.2886002886002886
relinqvo,2,0.36496350364963503,certvs,2,0.3418803418803419,papa,2,0.3448275862068966,qvin/1,2,0.3738317757009346,traditio,2,0.37243947858473,commendo,3,0.410958904109589,postmodvm,3,0.4716981132075472,fero,2,0.3424657534246575,promitto,2,0.3502626970227671,gratia,2,0.34305317324185247,obsecro,2,0.315955766192733,omnis,2,0.31695721077654515,pervenio,2,0.3284072249589491,respondeo,2,0.33444816053511706,disco,2,0.29895366218236175,colligo/3,2,0.33783783783783783,sino,2,0.3401360544217687,ivxta/1,2,0.3508771929824561,aqva,2,0.33783783783783783,terra,2,0.2886002886002886
peregrinvs/2,2,0.36496350364963503,adicio,2,0.3418803418803419,colligo/3,2,0.3448275862068966,sine,2,0.3738317757009346,video,2,0.37243947858473,observo,3,0.410958904109589,angli/n,2,0.3144654088050315,consentio,2,0.3424657534246575,christianvs/2,2,0.3502626970227671,monasterivm,2,0.34305317324185247,singvlvs,2,0.315955766192733,memoria,2,0.31695721077654515,excipio,2,0.3284072249589491,adeo/1,2,0.33444816053511706,theodore/n1,2,0.29895366218236175,qvalis/1,2,0.33783783783783783,volo/3,2,0.3401360544217687,advenio,2,0.3508771929824561,nox,2,0.33783783783783783,flvvivs,2,0.2886002886002886
oratio,2,0.36496350364963503,obsecro,2,0.3418803418803419,gratia,2,0.3448275862068966,fvtvrvs,2,0.3738317757009346,vox,2,0.37243947858473,sapio,3,0.410958904109589,vervs,2,0.3144654088050315,res,2,0.3424657534246575,vocabvlvm,2,0.3502626970227671,natio/1,2,0.34305317324185247,locvs,2,0.315955766192733,video,2,0.31695721077654515,sancio,2,0.3284072249589491,vxor,2,0.33444816053511706,venio,2,0.29895366218236175,ago,2,0.33783783783783783,remaneo,2,0.3401360544217687,sicvt/1,2,0.3508771929824561,longe,2,0.33783783783783783,inclvdo,2,0.2886002886002886
servio,2,0.36496350364963503,mens,2,0.3418803418803419,frater,2,0.3448275862068966,antea,2,0.3738317757009346,pontifex,2,0.37243947858473,sollemnis,3,0.410958904109589,dignvs,2,0.3144654088050315,tantvs,2,0.3424657534246575,mos,2,0.3502626970227671,credo,2,0.34305317324185247,credo,2,0.315955766192733,vsqve,2,0.31695721077654515,habeo,2,0.3284072249589491,dominvs,2,0.33444816053511706,episcopvs,2,0.29895366218236175,pono,2,0.33783783783783783,qvin/1,2,0.3401360544217687,sedes,2,0.3508771929824561,redeo/1,2,0.33783783783783783,ferrvm,2,0.2886002886002886
proficio,2,0.36496350364963503,copiosvs,2,0.3418803418803419,fidelis/2,2,0.3448275862068966,svpero,2,0.3738317757009346,permitto,2,0.37243947858473,historia,2,0.273972602739726,ecclesia,2,0.3144654088050315,maneo,2,0.3424657534246575,doctrina,2,0.3502626970227671,nomen,2,0.34305317324185247,qvidam,2,0.315955766192733,frater,2,0.31695721077654515,britannia/n,2,0.3284072249589491,praecipio,2,0.33444816053511706,mando/2,2,0.29895366218236175,corpvs,2,0.33783783783783783,flvmen,2,0.3401360544217687,peto,2,0.3508771929824561,lingva,2,0.33783783783783783,nobilis/2,2,0.2886002886002886
seqvor,2,0.36496350364963503,valeo,2,0.3418803418803419,credo,2,0.3448275862068966,assvm/1,2,0.3738317757009346,invenio,2,0.37243947858473,prior,2,0.273972602739726,proximvs,2,0.3144654088050315,vocabvlvm,2,0.3424657534246575,regina,2,0.3502626970227671,voco,2,0.34305317324185247,ivmentvm,2,0.315955766192733,antistes,2,0.31695721077654515,civitas,2,0.3284072249589491,ivbeo,2,0.33444816053511706,frater,2,0.29895366218236175,mvltvs,2,0.33783783783783783,capvt,2,0.3401360544217687,impetro,2,0.3508771929824561,ergo/2,2,0.33783783783783783,instrvo,2,0.2886002886002886
semper,2,0.36496350364963503,lapis,2,0.3418803418803419,soleo,2,0.3448275862068966,prohibeo,2,0.3738317757009346,nordanhymbri/n,2,0.37243947858473,disco,2,0.273972602739726,antistes,2,0.3144654088050315,miracvlvm,2,0.3424657534246575,primo,2,0.3502626970227671,terra,2,0.34305317324185247,aer,2,0.315955766192733,scio,2,0.31695721077654515,nvllvs,2,0.3284072249589491,christianvs/2,2,0.33444816053511706,britannia/n,2,0.29895366218236175,longvs,2,0.33783783783783783,relinqvo,2,0.3401360544217687,cvmqve,2,0.3508771929824561,vivo,2,0.33783783783783783,qvia,2,0.2886002886002886
exemplvm,2,0.36496350364963503,nox,2,0.3418803418803419,advenio,2,0.3448275862068966,socio,2,0.3738317757009346,insvla,2,0.37243947858473,omnis,2,0.273972602739726,diversvs,2,0.3144654088050315,debeo,2,0.3424657534246575,conflvo,2,0.3502626970227671,valeo,2,0.34305317324185247,qvaestio,2,0.315955766192733,britannia/n,2,0.31695721077654515,aqva,2,0.3284072249589491,prohibeo,2,0.33444816053511706,praeclarvs,2,0.29895366218236175,nvllvs,2,0.33783783783783783,differo,2,0.3401360544217687,hodie,2,0.3508771929824561,regnvm,2,0.33783783783783783,nox,2,0.2886002886002886
resvrrectio,2,0.36496350364963503,confiteor,2,0.3418803418803419,facio,2,0.3448275862068966,servio,2,0.3738317757009346,sacerdos,2,0.37243947858473,memoria,2,0.273972602739726,veritas,2,0.3144654088050315,profero,2,0.3424657534246575,confero,2,0.3502626970227671,recipio,2,0.34305317324185247,ingredior,2,0.315955766192733,soleo,2,0.31695721077654515,recipio,2,0.3284072249589491,velvt/1,2,0.33444816053511706,soleo,2,0.29895366218236175,ignis,2,0.33783783783783783,gero,2,0.3401360544217687,nemo,2,0.3508771929824561,licentia,2,0.33783783783783783,redeo/1,2,0.2886002886002886
vaco,2,0.36496350364963503,picti/n,2,0.3418803418803419,respondeo,2,0.3448275862068966,animvs,2,0.3738317757009346,pervenio,2,0.37243947858473,discipvlvs,2,0.273972602739726,natio/1,2,0.3144654088050315,proficio,2,0.3424657534246575,dominicvs,2,0.3502626970227671,advenio,2,0.34305317324185247,intro/1,2,0.315955766192733,aetas,2,0.31695721077654515,qvia,2,0.3284072249589491,animvs,2,0.33444816053511706,aetas,2,0.29895366218236175,advenio,2,0.33783783783783783,cogito,2,0.3401360544217687,egredior,2,0.3508771929824561,cvnctvs,2,0.33783783783783783,sicvt/1,2,0.2886002886002886
