,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
regivs,9,0.7792207792207793,ibi,10,0.7880220646178092,homo,10,0.9199632014719411,pervenio,8,0.7744433688286544,domvs,10,0.8038585209003215,volo/3,11,0.8863819500402902,praedico/3,11,0.8807045636509208,lvx,12,0.8961911874533234,invenio,10,0.8097165991902834,episcopvs,11,0.9075907590759077
rex,8,0.6926406926406926,vervs,9,0.7092198581560284,disco,9,0.8279668813247469,mare,8,0.7744433688286544,manvs/1,10,0.8038585209003215,nvnc,10,0.8058017727639,nomen,10,0.8006405124099278,memoria,11,0.8215085884988798,habeo,10,0.8097165991902834,qvoqve,10,0.825082508250825
nvnc,8,0.6926406926406926,pervenio,9,0.7092198581560284,relinqvo,9,0.8279668813247469,septentrionalis,8,0.7744433688286544,qvidam,9,0.7234726688102894,video,10,0.8058017727639,totvs,10,0.8006405124099278,dvco,11,0.8215085884988798,respondeo,10,0.8097165991902834,pater,10,0.825082508250825
refero,8,0.6926406926406926,monasterivm,9,0.7092198581560284,mvltvs,8,0.7359705611775529,britanni/n,8,0.7744433688286544,intro/1,9,0.7234726688102894,venio,10,0.8058017727639,omnis,9,0.7205764611689351,venio,10,0.7468259895444361,cvmqve,10,0.8097165991902834,contra/2,10,0.825082508250825
scribo,8,0.6926406926406926,mitto,9,0.7092198581560284,lingva,8,0.7359705611775529,accipio,8,0.7744433688286544,cvmqve,9,0.7234726688102894,habeo,10,0.8058017727639,ago,9,0.7205764611689351,accipio,10,0.7468259895444361,narro,10,0.8097165991902834,inqvio,10,0.825082508250825
vsqve,8,0.6926406926406926,relinqvo,9,0.7092198581560284,regnvm,8,0.7359705611775529,hodie,8,0.7744433688286544,dominvs,9,0.7234726688102894,qvidam,10,0.8058017727639,baptizo,9,0.7205764611689351,virtvs,10,0.7468259895444361,statim,10,0.8097165991902834,vivo,10,0.825082508250825
pars,8,0.6926406926406926,teneo,9,0.7092198581560284,ivbeo,8,0.7359705611775529,verbvm,7,0.6776379477250726,ivbeo,9,0.7234726688102894,promitto,10,0.8058017727639,annvs,9,0.7205764611689351,mors,10,0.7468259895444361,opvs/1,9,0.728744939271255,mos,10,0.825082508250825
fidelis/2,8,0.6926406926406926,desidero,8,0.6304176516942475,ibidem,8,0.7359705611775529,qvoqve,7,0.6776379477250726,virtvs,9,0.7234726688102894,svscipio,10,0.8058017727639,nihil,9,0.7205764611689351,abbatissa,10,0.7468259895444361,frater,9,0.728744939271255,dominicvs,10,0.825082508250825
corpvs,8,0.6926406926406926,cantvari/n,8,0.6304176516942475,sepvlcrvm,8,0.7359705611775529,videlicet,7,0.6776379477250726,sepelio,9,0.7234726688102894,vervs,9,0.7252215954875101,alivs,8,0.6405124099279423,qvasi/1,9,0.6721433905899925,vivo,9,0.728744939271255,veritas,9,0.7425742574257426
lego/2,7,0.6060606060606061,aetas,8,0.6304176516942475,interrogo,8,0.7359705611775529,svvs,7,0.6776379477250726,revereor,8,0.6430868167202572,differo,9,0.7252215954875101,exercitvs/1,8,0.6405124099279423,annvs,9,0.6721433905899925,simvl/1,8,0.6477732793522267,lingva,9,0.7425742574257426
maxime,7,0.6060606060606061,accipio,8,0.6304176516942475,vita,7,0.6439742410303588,qvidam,7,0.6776379477250726,habeo,8,0.6430868167202572,offero,9,0.7252215954875101,vervs,7,0.5604483586869495,saecvlvm,9,0.6721433905899925,adhvc,8,0.6477732793522267,debeo,9,0.7425742574257426
cognosco,7,0.6060606060606061,dono,8,0.6304176516942475,nomen,7,0.6439742410303588,valeo,7,0.6776379477250726,advenio,8,0.6430868167202572,avdio,8,0.6446414182111201,magnvs,7,0.5604483586869495,loqvor,9,0.6721433905899925,iste,8,0.6477732793522267,cavsa,9,0.7425742574257426
papa,7,0.6060606060606061,adeo/1,8,0.6304176516942475,domvs,7,0.6439742410303588,facio,7,0.6776379477250726,redeo/1,8,0.6430868167202572,coepio,8,0.6446414182111201,doctrina,7,0.5604483586869495,constrvo,9,0.6721433905899925,qvasi/1,8,0.6477732793522267,rex,8,0.6600660066006601
littera,7,0.6060606060606061,avdio,7,0.5516154452324665,servio,7,0.6439742410303588,magnvs,7,0.6776379477250726,facio,8,0.6430868167202572,hostis,8,0.6446414182111201,regina,7,0.5604483586869495,pver,9,0.6721433905899925,ocvlvs,8,0.6477732793522267,traditio,8,0.6600660066006601
pontifex,7,0.6060606060606061,memoria,7,0.5516154452324665,animvs,7,0.6439742410303588,ergo/2,7,0.6776379477250726,praecipio,8,0.6430868167202572,salvs,7,0.5640612409347301,sacramentvm,7,0.5604483586869495,religiosvs,8,0.597460791635549,nvnc,7,0.5668016194331984,ivxta/1,8,0.6600660066006601
dico/2,7,0.6060606060606061,frater,7,0.5516154452324665,dvco,7,0.6439742410303588,tvvs,6,0.5808325266214909,maneo,8,0.6430868167202572,ecclesia,7,0.5640612409347301,pascha,7,0.5604483586869495,dies,8,0.597460791635549,caelestis,7,0.5668016194331984,respondeo,8,0.6600660066006601
vita,7,0.6060606060606061,memini,7,0.5516154452324665,spiritvs,7,0.6439742410303588,venio,6,0.5808325266214909,semper,8,0.6430868167202572,voco,7,0.5640612409347301,filia,7,0.5604483586869495,cvmqve,8,0.597460791635549,salvs,6,0.4858299595141701,familia,8,0.6600660066006601
liber/1,7,0.6060606060606061,recipio,7,0.5516154452324665,aio,7,0.6439742410303588,locvs,6,0.5808325266214909,constrvo,8,0.6430868167202572,vnde/1,7,0.5640612409347301,villa,7,0.5604483586869495,ieivnivm,8,0.597460791635549,cvro,6,0.4858299595141701,ivbeo,8,0.6600660066006601
apostolicvs,7,0.6060606060606061,advenio,7,0.5516154452324665,qvoqve,6,0.5519779208831647,terra,6,0.5808325266214909,sollicitvs,7,0.5627009646302251,advenio,7,0.5640612409347301,oswald/n1,7,0.5604483586869495,servio,8,0.597460791635549,monasterivm,6,0.4858299595141701,monasterivm,7,0.5775577557755776
exemplvm,7,0.6060606060606061,dies,7,0.5516154452324665,cvro,6,0.5519779208831647,vtpote,6,0.5808325266214909,sancio,7,0.5627009646302251,hora,7,0.5640612409347301,romanvs/a,6,0.4803843074459567,appareo,8,0.597460791635549,ardeo,6,0.4858299595141701,advenio,7,0.5775577557755776
solvs,6,0.5194805194805194,servo,7,0.5516154452324665,invenio,6,0.5519779208831647,fero,6,0.5808325266214909,propter/2,7,0.5627009646302251,seqvor,7,0.5640612409347301,gratia,6,0.4803843074459567,videlicet,7,0.5227781926811054,sicvt/1,6,0.4858299595141701,do,7,0.5775577557755776
vir,6,0.5194805194805194,lectio,7,0.5516154452324665,qvidam,6,0.5519779208831647,finis,6,0.5808325266214909,invenio,6,0.482315112540193,aio,7,0.5640612409347301,dominvs,6,0.4803843074459567,certvs,7,0.5227781926811054,intro/1,6,0.4858299595141701,vervs,6,0.49504950495049505
cvra,6,0.5194805194805194,eo/1,7,0.5516154452324665,soleo,6,0.5519779208831647,sedes,6,0.5808325266214909,pars,6,0.482315112540193,doceo,6,0.4834810636583401,religio,6,0.4803843074459567,coepio,7,0.5227781926811054,ergo/2,6,0.4858299595141701,videlicet,6,0.49504950495049505
romanvs/a,6,0.5194805194805194,gavdeo,7,0.5516154452324665,adhvc,6,0.5519779208831647,crvx,6,0.5808325266214909,deniqve,6,0.482315112540193,alivs,6,0.4834810636583401,mos,6,0.4803843074459567,tantvs,7,0.5227781926811054,volo/3,6,0.4858299595141701,mevs,6,0.49504950495049505
pater,6,0.5194805194805194,institvo,6,0.4728132387706856,dominvs,6,0.5519779208831647,nosco,5,0.48402710551790895,inqvio,6,0.482315112540193,qvondam,6,0.4834810636583401,miles,6,0.4803843074459567,ostendo,7,0.5227781926811054,servo,6,0.4858299595141701,nomen,6,0.49504950495049505
terra,6,0.5194805194805194,pontifex,6,0.4728132387706856,pvlvis,6,0.5519779208831647,noster,5,0.48402710551790895,mitto,6,0.482315112540193,fero,6,0.4834810636583401,virgo,6,0.4803843074459567,minister/1,7,0.5227781926811054,gero,6,0.4858299595141701,qvaestio,6,0.49504950495049505
sicvt/1,6,0.5194805194805194,nomen,6,0.4728132387706856,loqvor,6,0.5519779208831647,scribo,5,0.48402710551790895,vocabvlvm,6,0.482315112540193,dono,6,0.4834810636583401,postmodvm,6,0.4803843074459567,avdio,6,0.4480955937266617,anima,6,0.4858299595141701,sicvt/1,6,0.49504950495049505
totvs,6,0.5194805194805194,res,6,0.4728132387706856,membrvm,6,0.5519779208831647,ecclesia,5,0.48402710551790895,dvm/2,6,0.482315112540193,homo,6,0.4834810636583401,affero,5,0.4003202562049639,cognosco,6,0.4480955937266617,agmen,6,0.4858299595141701,fero,6,0.49504950495049505
dvo,6,0.5194805194805194,maneo,6,0.4728132387706856,canto,6,0.5519779208831647,video,5,0.48402710551790895,sermo,6,0.482315112540193,nihil,6,0.4834810636583401,vsqve,5,0.4003202562049639,antistes,6,0.4480955937266617,malignvs,6,0.4858299595141701,ritvs,6,0.49504950495049505
pavper,6,0.5194805194805194,doctor,6,0.4728132387706856,verbvm,5,0.45998160073597055,ibi,5,0.48402710551790895,devotio,6,0.482315112540193,ostendo,6,0.4834810636583401,antistes,5,0.4003202562049639,propter/2,6,0.4480955937266617,lego/2,5,0.4048582995951417,siqvidem,6,0.49504950495049505
avdio,5,0.4329004329004329,dominicvs,6,0.4728132387706856,salvs,5,0.45998160073597055,saepe,5,0.48402710551790895,devenio,6,0.482315112540193,via,6,0.4834810636583401,sancio,5,0.4003202562049639,vivo,6,0.4480955937266617,vervs,5,0.4048582995951417,celebratio,6,0.49504950495049505
dignvs,5,0.4329004329004329,transeo/1,6,0.4728132387706856,affero,5,0.45998160073597055,maximvs,5,0.48402710551790895,simvl/1,5,0.40192926045016075,sacer,6,0.4834810636583401,qvia,5,0.4003202562049639,vocabvlvm,6,0.4480955937266617,ecclesia,5,0.4048582995951417,aio,6,0.49504950495049505
disco,5,0.4329004329004329,svscipio,6,0.4728132387706856,infirmitas,5,0.45998160073597055,longvs,5,0.48402710551790895,reverto,5,0.40192926045016075,christvs/n,5,0.40290088638195,dies,5,0.4003202562049639,anima,6,0.4480955937266617,ago,5,0.4048582995951417,observatio,6,0.49504950495049505
cvro,5,0.4329004329004329,kalendae,6,0.4728132387706856,redeo/1,5,0.45998160073597055,litvs,5,0.48402710551790895,ago,5,0.40192926045016075,angli/n,5,0.40290088638195,britanni/n,5,0.4003202562049639,vestis,6,0.4480955937266617,libellvs,5,0.4048582995951417,probo,5,0.4125412541254125
revereor,5,0.4329004329004329,aliqvot,6,0.4728132387706856,dies,5,0.45998160073597055,genvs/1,5,0.48402710551790895,ivxta/1,5,0.40192926045016075,solvs,5,0.40290088638195,accipio,5,0.4003202562049639,amplvs,6,0.4480955937266617,nobilis/2,5,0.4048582995951417,disco,5,0.4125412541254125
exsisto,5,0.4329004329004329,historia,5,0.3940110323089046,annvs,5,0.45998160073597055,flvvivs,5,0.48402710551790895,qvia,5,0.40192926045016075,pontifex,5,0.40290088638195,qvamvis/1,5,0.4003202562049639,disciplina,6,0.4480955937266617,aspicio,5,0.4048582995951417,revereor,5,0.4125412541254125
