,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
fidelis/2,9,1.0192525481313703,caelestis,11,1.1178861788617886,voco,10,0.9208103130755065,episcopvs,10,1.0351966873706004,fero,10,1.0362694300518136,caelestis,9,1.0123734533183353,regnvm,10,1.040582726326743,ibi,9,0.9155645981688708,peto,11,1.2528473804100226,avdio,10,0.998003992015968
avdio,8,0.9060022650056626,verbvm,10,1.0162601626016259,facio,10,0.9208103130755065,regnvm,10,1.0351966873706004,filivs,10,1.0362694300518136,ocvlvs,9,1.0123734533183353,interrogo,10,1.040582726326743,romanvs/a,9,0.9155645981688708,praedico/3,11,1.2528473804100226,qvidam,10,0.998003992015968
simvl/1,8,0.9060022650056626,invenio,10,1.0162601626016259,maneo,10,0.9208103130755065,nihil,10,1.0351966873706004,vir,9,0.932642487046632,qvondam,8,0.8998875140607425,avdio,9,0.9365244536940687,memini,9,0.9155645981688708,voco,10,1.1389521640091116,do,10,0.998003992015968
scribo,8,0.9060022650056626,pervenio,9,0.9146341463414633,ibidem,10,0.9208103130755065,svscipio,10,1.0351966873706004,gratia,9,0.932642487046632,doctrina,8,0.8998875140607425,devs,9,0.9365244536940687,svpra/2,9,0.9155645981688708,nvllvs,9,1.0250569476082005,ibi,9,0.8982035928143712
disco,8,0.9060022650056626,sicvt/1,9,0.9146341463414633,saecvlvm,10,0.9208103130755065,christvs/n,9,0.9316770186335404,ago,9,0.932642487046632,narro,8,0.8998875140607425,vsqve,9,0.9365244536940687,filivs,9,0.9155645981688708,venio,8,0.9111617312072893,manvs/1,9,0.8982035928143712
cvro,8,0.9060022650056626,dvm/2,9,0.9146341463414633,religiosvs,9,0.8287292817679558,cvro,9,0.9316770186335404,ivxta/1,9,0.932642487046632,lego/2,7,0.7874015748031495,vnde/1,9,0.9365244536940687,monasterivm,8,0.8138351983723295,longvs,8,0.9111617312072893,ergo/2,8,0.7984031936127743
dico/2,8,0.9060022650056626,nvnc,8,0.8130081300813009,pono,9,0.8287292817679558,video,9,0.9316770186335404,qvin/1,9,0.932642487046632,nvllvs,7,0.7874015748031495,terra,9,0.9365244536940687,ago,8,0.8138351983723295,nox,8,0.9111617312072893,mitto,8,0.7984031936127743
maxime,7,0.7927519818799547,vita,8,0.8130081300813009,dvco,9,0.8287292817679558,pater,9,0.9316770186335404,christianvs/2,9,0.932642487046632,lingva,7,0.7874015748031495,soleo,9,0.9365244536940687,dies,8,0.8138351983723295,sicvt/1,8,0.9111617312072893,semper,8,0.7984031936127743
religiosvs,7,0.7927519818799547,accipio,8,0.8130081300813009,disciplina,9,0.8287292817679558,monasterivm,9,0.9316770186335404,sacramentvm,9,0.932642487046632,ergo/2,7,0.7874015748031495,affero,8,0.8324661810613945,ergo/2,8,0.8138351983723295,accipio,8,0.9111617312072893,perficio,8,0.7984031936127743
rego,7,0.7927519818799547,oratio,8,0.8130081300813009,memoria,8,0.7366482504604052,oro,9,0.9316770186335404,omnis,8,0.8290155440414507,aspicio,7,0.7874015748031495,gravis,8,0.8324661810613945,coepio,8,0.8138351983723295,coepio,8,0.9111617312072893,habeo,7,0.6986027944111777
pater,7,0.7927519818799547,propter/2,7,0.7113821138211381,pervenio,8,0.7366482504604052,aio,9,0.9316770186335404,alivs,8,0.8290155440414507,homo,7,0.7874015748031495,div,8,0.8324661810613945,cvnctvs,8,0.8138351983723295,regio,7,0.7972665148063782,adhvc,7,0.6986027944111777
monasterivm,7,0.7927519818799547,appareo,7,0.7113821138211381,frater,8,0.7366482504604052,nosco,8,0.8281573498964804,voco,8,0.8290155440414507,intelligo,7,0.7874015748031495,cvro,7,0.72840790842872,gens,7,0.7121057985757884,invenio,7,0.7972665148063782,res,7,0.6986027944111777
veritas,7,0.7927519818799547,refero,6,0.6097560975609756,soleo,8,0.7366482504604052,provincia,8,0.8281573498964804,habeo,7,0.7253886010362695,sedeo,7,0.7874015748031495,doceo,7,0.72840790842872,theodore/n1,7,0.7121057985757884,dico/2,7,0.7972665148063782,maneo,7,0.6986027944111777
credo,7,0.7927519818799547,ibi,6,0.6097560975609756,mors,8,0.7366482504604052,advenio,8,0.8281573498964804,mitto,7,0.7253886010362695,gens,6,0.6749156355455568,deniqve,7,0.72840790842872,nobilis/2,7,0.7121057985757884,soleo,7,0.7972665148063782,vocabvlvm,7,0.6986027944111777
facio,7,0.7927519818799547,opvs/1,6,0.6097560975609756,anima,8,0.7366482504604052,inqvio,8,0.8281573498964804,filia,7,0.7253886010362695,nvnc,6,0.6749156355455568,pono,7,0.72840790842872,dono,7,0.7121057985757884,ergo/2,7,0.7972665148063782,loqvor,7,0.6986027944111777
sedes,7,0.7927519818799547,ago,6,0.6097560975609756,nvnc,7,0.6445672191528545,semper,8,0.8281573498964804,oswald/n1,7,0.7253886010362695,vervs,6,0.6749156355455568,morior,7,0.72840790842872,imperivm,7,0.7121057985757884,ibidem,7,0.7972665148063782,postvlo,7,0.6986027944111777
aeternvs,7,0.7927519818799547,infirmitas,6,0.6097560975609756,vervs,7,0.6445672191528545,dignvs,7,0.7246376811594203,vervs,6,0.6217616580310881,pontifex,6,0.6749156355455568,miracvlvm,7,0.72840790842872,dvo,7,0.7121057985757884,angli/n,6,0.683371298405467,voco,6,0.5988023952095809
praedico/3,7,0.7927519818799547,aspicio,6,0.6097560975609756,salvs,7,0.6445672191528545,adhvc,7,0.7246376811594203,credo,6,0.6217616580310881,certvs,6,0.6749156355455568,rogo,7,0.72840790842872,ordino,7,0.7121057985757884,ibi,6,0.683371298405467,accipio,6,0.5988023952095809
siqvidem,7,0.7927519818799547,vrbs,6,0.6097560975609756,dico/2,7,0.6445672191528545,probo,6,0.6211180124223602,primvs,6,0.6217616580310881,locvs,6,0.6749156355455568,teneo,7,0.72840790842872,teneo,7,0.7121057985757884,nomen,6,0.683371298405467,dominicvs,6,0.5988023952095809
cvra,6,0.6795016987542469,constrvo,6,0.6097560975609756,episcopvs,7,0.6445672191528545,credo,6,0.6211180124223602,finis,6,0.6217616580310881,valeo,6,0.6749156355455568,minister/1,7,0.72840790842872,eo/1,7,0.7121057985757884,terra,6,0.683371298405467,ostendo,6,0.5988023952095809
cognosco,6,0.6795016987542469,frater,5,0.5081300813008129,certvs,7,0.6445672191528545,contra/2,6,0.6211180124223602,do,6,0.6217616580310881,adhvc,6,0.6749156355455568,historia,6,0.6243496357960457,provincia,6,0.6103763987792472,valeo,6,0.683371298405467,svpra/2,6,0.5988023952095809
doceo,6,0.6795016987542469,nvllvs,5,0.5081300813008129,terra,7,0.6445672191528545,mos,6,0.6211180124223602,servo,6,0.6217616580310881,advenio,6,0.6749156355455568,sancio,6,0.6243496357960457,ivxta/1,6,0.6103763987792472,advenio,6,0.683371298405467,benedictio,6,0.5988023952095809
mevs,6,0.6795016987542469,nox,5,0.5081300813008129,refero,6,0.5524861878453038,ieivnivm,6,0.6211180124223602,caelestis,6,0.6217616580310881,inqvio,6,0.6749156355455568,peto,6,0.6243496357960457,tantvs,6,0.6103763987792472,vtpote,6,0.683371298405467,amplvs,6,0.5988023952095809
dies,6,0.6795016987542469,tres,5,0.5081300813008129,ibi,6,0.5524861878453038,praefero,6,0.6211180124223602,annvs,6,0.6217616580310881,talis,6,0.6749156355455568,cvmqve,6,0.6243496357960457,dominvs,6,0.6103763987792472,do,6,0.683371298405467,rex,5,0.499001996007984
annvs,6,0.6795016987542469,praedico/3,5,0.5081300813008129,siqvis,6,0.5524861878453038,cognosco,5,0.5175983436853002,disco,5,0.5181347150259068,vvltvs,6,0.6749156355455568,dominvs,6,0.6243496357960457,dominicvs,6,0.6103763987792472,hodie,6,0.683371298405467,christvs/n,5,0.499001996007984
