,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
facio,30,2.5210084033613445,facio,37,3.0833333333333335,corpvs,60,4.8348106365834,ecclesia,35,3.0146425495262705,habeo,32,3.0103480714957667,rex,84,6.796116504854369,monasterivm,67,5.716723549488054,qvia,35,2.933780385582565,dico/2,45,3.303964757709251,rex,47,3.77207062600321
dico/2,28,2.3529411764705883,verbvm,25,2.083333333333333,video,36,2.9008863819500403,christvs/n,30,2.5839793281653747,insvla,23,2.1636876763875823,svvs,42,3.3980582524271843,christvs/n,34,2.901023890784983,nox,24,2.0117351215423303,ecclesia,42,3.0837004405286343,venio,39,3.1300160513643664
qvia,26,2.1848739495798317,omnis,23,1.9166666666666665,qvasi/1,27,2.17566478646253,gens,22,1.8949181739879413,mvltvs,23,2.1636876763875823,fides/2,29,2.3462783171521036,video,22,1.877133105802048,qvidam,23,1.9279128248113997,episcopvs,30,2.2026431718061676,episcopvs,34,2.7287319422150884
dominvs,26,2.1848739495798317,mvltvs,23,1.9166666666666665,avdio,22,1.7727639000805804,fides/2,18,1.550387596899225,locvs,19,1.7873941674506115,edwin/n2,25,2.0226537216828477,devs,21,1.7918088737201365,facio,21,1.760268231349539,monasterivm,30,2.2026431718061676,annvs,31,2.4879614767255216
devs,24,2.0168067226890756,qvia,20,1.6666666666666667,homo,21,1.6921837228041903,angli/n,16,1.3781223083548666,gens,17,1.5992474129821261,provincia,23,1.8608414239482203,mors,18,1.5358361774744027,venio,18,1.5088013411567478,provincia,27,1.9823788546255507,britannia/n,28,2.247191011235955
celebro,23,1.9327731092436975,caelestis,20,1.6666666666666667,spiritvs,21,1.6921837228041903,omnis,15,1.2919896640826873,britannia/n,16,1.5051740357478833,regnvm,22,1.779935275080906,antistes,17,1.4505119453924915,domvs,16,1.341156747694887,frater,22,1.6152716593245229,christvs/n,26,2.086677367576244
episcopvs,20,1.680672268907563,vita,18,1.5,qvia,18,1.4504431909750202,historia,13,1.119724375538329,dies,16,1.5051740357478833,pavlinvs/n1,21,1.6990291262135921,habeo,16,1.3651877133105803,loqvor,16,1.341156747694887,ago,21,1.5418502202643172,roma/n,23,1.8459069020866776
seqvor,19,1.5966386554621848,devs,16,1.3333333333333335,dvco,18,1.4504431909750202,noster,13,1.119724375538329,omnis,15,1.4111006585136407,annvs,17,1.3754045307443366,infirmitas,16,1.3651877133105803,dico/2,15,1.2573344509639564,verbvm,20,1.4684287812041115,qvoqve,15,1.2038523274478332
vnde/1,18,1.5126050420168067,video,16,1.3333333333333335,qvidam,16,1.2892828364222402,provincia,13,1.119724375538329,scoti/n,15,1.4111006585136407,angli/n,15,1.2135922330097086,mater,15,1.2798634812286689,caelestis,15,1.2573344509639564,constrvo,19,1.3950073421439062,svpra/2,15,1.2038523274478332
doceo,17,1.4285714285714286,homo,14,1.1666666666666667,monasterivm,14,1.1281224818694602,alivs,13,1.119724375538329,fero,15,1.4111006585136407,gens,14,1.132686084142395,qvoqve,13,1.1092150170648465,refero,13,1.0896898575020955,avdio,18,1.3215859030837005,avdio,14,1.1235955056179776
ecclesia,16,1.3445378151260505,tvvs,13,1.0833333333333335,ignis,14,1.1281224818694602,sanctvs,12,1.03359173126615,venio,13,1.2229539040451554,praedico/3,14,1.132686084142395,corpvs,13,1.1092150170648465,dvm/2,13,1.0896898575020955,dominvs,17,1.2481644640234948,ecclesia,14,1.1235955056179776
ago,16,1.3445378151260505,dico/2,12,1.0,adhvc,13,1.04754230459307,habeo,12,1.03359173126615,vsqve,13,1.2229539040451554,mitto,13,1.051779935275081,prior,12,1.023890784982935,habeo,12,1.0058675607711651,voco,16,1.1747430249632893,monasterivm,14,1.1235955056179776
mos,15,1.2605042016806722,respondeo,11,0.9166666666666666,cvmqve,13,1.04754230459307,beatvs,11,0.9474590869939706,qvia,13,1.2229539040451554,vir,12,0.9708737864077669,dies,12,1.023890784982935,inqvio,12,1.0058675607711651,oratio,16,1.1747430249632893,mitto,14,1.1235955056179776
dominicvs,15,1.2605042016806722,rex,10,0.8333333333333334,pervenio,12,0.9669621273166802,dico/2,11,0.9474590869939706,picti/n,13,1.2229539040451554,svscipio,12,0.9708737864077669,ergo/2,12,1.023890784982935,oratio,12,1.0058675607711651,ibi,15,1.1013215859030838,antistes,13,1.043338683788122
cvro,14,1.1764705882352942,habeo,10,0.8333333333333334,volo/3,12,0.9669621273166802,gratia,11,0.9474590869939706,dico/2,11,1.03480714957667,devs,10,0.8090614886731391,dominvs,11,0.938566552901024,pvlvis,12,1.0058675607711651,ivxta/1,15,1.1013215859030838,regno,13,1.043338683788122
habeo,13,1.0924369747899159,volo/3,10,0.8333333333333334,nvnc,10,0.8058017727639,opvs/1,11,0.9474590869939706,pars,11,1.03480714957667,locvs,10,0.8090614886731391,abbatissa,11,0.938566552901024,dolor,12,1.0058675607711651,dies,15,1.1013215859030838,mvltvs,12,0.9630818619582664
nihil,12,1.0084033613445378,dominvs,10,0.8333333333333334,simvl/1,10,0.8058017727639,doceo,10,0.8613264427217916,voco,11,1.03480714957667,totvs,10,0.8090614886731391,ecclesia,10,0.8532423208191127,vsqve,11,0.9220452640402346,venio,14,1.0279001468428781,coepio,12,0.9630818619582664
monasterivm,11,0.9243697478991597,vervs,9,0.75,sicvt/1,10,0.8058017727639,virtvs,10,0.8613264427217916,britanni/n,11,1.03480714957667,exercitvs/1,10,0.8090614886731391,provincia,10,0.8532423208191127,intro/1,11,0.9220452640402346,redeo/1,13,0.9544787077826725,praedico/3,12,0.9630818619582664
inqvio,11,0.9243697478991597,salvs,9,0.75,tantvs,10,0.8058017727639,vervs,9,0.7751937984496124,advenio,10,0.940733772342427,venio,9,0.7281553398058253,venio,10,0.8532423208191127,virtvs,11,0.9220452640402346,facio,13,0.9544787077826725,pervenio,11,0.8828250401284109
traditio,10,0.8403361344537815,vnde/1,9,0.75,invenio,9,0.7252215954875101,vir,9,0.7751937984496124,lingva,10,0.940733772342427,alivs,9,0.7281553398058253,tantvs,10,0.8532423208191127,affero,10,0.8382229673093042,ordino,13,0.9544787077826725,dies,11,0.8828250401284109
vsqve,10,0.8403361344537815,ergo/2,9,0.75,vsqve,9,0.7252215954875101,pontifex,9,0.7751937984496124,nvllvs,9,0.8466603951081844,vsqve,9,0.7281553398058253,dvco,10,0.8532423208191127,monasterivm,10,0.8382229673093042,seqvor,13,0.9544787077826725,ivbeo,11,0.8828250401284109
dies,10,0.8403361344537815,do,9,0.75,accipio,9,0.7252215954875101,vita,9,0.7751937984496124,valeo,9,0.8466603951081844,ivxta/1,9,0.7281553398058253,religiosvs,9,0.7679180887372014,terra,10,0.8382229673093042,qvoqve,12,0.881057268722467,svscipio,11,0.8828250401284109
respondeo,10,0.8403361344537815,tantvs,9,0.75,coepio,9,0.7252215954875101,veritas,9,0.7751937984496124,peto,9,0.8466603951081844,facio,9,0.7281553398058253,annvs,9,0.7679180887372014,coepio,10,0.8382229673093042,soleo,12,0.881057268722467,relinqvo,10,0.8025682182985553
nosco,9,0.7563025210084033,regnvm,9,0.75,virtvs,9,0.7252215954875101,converto,9,0.7751937984496124,ergo/2,9,0.8466603951081844,cvnctvs,9,0.7281553398058253,svscipio,9,0.7679180887372014,cvmqve,10,0.8382229673093042,adhvc,12,0.881057268722467,gens,9,0.7223113964686998
contra/2,9,0.7563025210084033,domvs,9,0.75,dvm/2,9,0.7252215954875101,pavper,9,0.7751937984496124,rex,8,0.7525870178739417,nihil,9,0.7281553398058253,invenio,8,0.6825938566552902,tantvs,10,0.8382229673093042,do,12,0.881057268722467,revereor,9,0.7223113964686998
ivbeo,9,0.7563025210084033,svscipio,9,0.75,debeo,9,0.7252215954875101,scribo,8,0.6890611541774333,angli/n,8,0.7525870178739417,oswald/n1,9,0.7281553398058253,pono,8,0.6825938566552902,ibidem,10,0.8382229673093042,saecvlvm,12,0.881057268722467,videlicet,9,0.7223113964686998
vervs,8,0.6722689075630253,noster,8,0.6666666666666667,aspicio,8,0.6446414182111201,credo,8,0.6890611541774333,saepe,8,0.7525870178739417,tantvs,8,0.6472491909385114,pver,8,0.6825938566552902,miracvlvm,10,0.8382229673093042,baptizo,11,0.8076358296622614,vsqve,9,0.7223113964686998
noster,8,0.6722689075630253,ago,8,0.6666666666666667,iste,8,0.6446414182111201,gloria,8,0.6890611541774333,longvs,8,0.7525870178739417,regina,8,0.6472491909385114,nvper,7,0.5972696245733788,svpra/2,10,0.8382229673093042,angelvs,11,0.8076358296622614,habeo,9,0.7223113964686998
credo,8,0.6722689075630253,primvs,8,0.6666666666666667,angelvs,8,0.6446414182111201,prior,7,0.6029285099052542,civitas,8,0.7525870178739417,filivs,8,0.6472491909385114,memoria,7,0.5972696245733788,manvs/1,10,0.8382229673093042,opvs/1,10,0.7342143906020557,res,9,0.7223113964686998
nomen,8,0.6722689075630253,debeo,8,0.6666666666666667,narro,8,0.6446414182111201,avdio,7,0.6029285099052542,mare,8,0.7525870178739417,sanctvs,7,0.5663430420711975,videlicet,7,0.5972696245733788,abbatissa,10,0.8382229673093042,terra,10,0.7342143906020557,ordino,9,0.7223113964686998
accipio,8,0.6722689075630253,differo,8,0.6666666666666667,statim,8,0.6446414182111201,nosco,7,0.6029285099052542,septentrionalis,8,0.7525870178739417,verbvm,7,0.5663430420711975,vivo,7,0.5972696245733788,maneo,9,0.7544006705783739,advenio,10,0.7342143906020557,semper,9,0.7223113964686998
servo,8,0.6722689075630253,svvs,7,0.5833333333333334,dico/2,7,0.5640612409347301,maxime,7,0.6029285099052542,crvx,8,0.7525870178739417,omnis,7,0.5663430420711975,vocabvlvm,7,0.5972696245733788,transfero,9,0.7544006705783739,tantvs,10,0.7342143906020557,simvl/1,8,0.6420545746388443
vester,8,0.6722689075630253,hora,7,0.5833333333333334,pono,7,0.5640612409347301,cvra,7,0.6029285099052542,vervs,7,0.658513640639699,ecclesia,7,0.5663430420711975,lvx,7,0.5972696245733788,salvs,8,0.6705783738474435,cavsa,10,0.7342143906020557,disco,8,0.6420545746388443
aio,8,0.6722689075630253,religio,7,0.5833333333333334,ocvlvs,7,0.5640612409347301,papa,7,0.6029285099052542,cetervs,7,0.658513640639699,nomen,7,0.5663430420711975,anima,7,0.5972696245733788,nomen,8,0.6705783738474435,cvnctvs,9,0.6607929515418502,ibi,8,0.6420545746388443
pater,7,0.5882352941176471,nolo,7,0.5833333333333334,malignvs,7,0.5640612409347301,pars,7,0.6029285099052542,pervenio,7,0.658513640639699,britanni/n,7,0.5663430420711975,virgo,7,0.5972696245733788,vnde/1,8,0.6705783738474435,vsqve,8,0.5873715124816447,romanvs/a,8,0.6420545746388443
qvidam,7,0.5882352941176471,nihil,7,0.5833333333333334,dies,6,0.4834810636583401,mvltvs,7,0.6029285099052542,qvidam,7,0.658513640639699,accipio,7,0.5663430420711975,congregatio,7,0.5972696245733788,ivxta/1,8,0.6705783738474435,habeo,8,0.5873715124816447,civitas,8,0.6420545746388443
qvaestio,7,0.5882352941176471,malvs/3,7,0.5833333333333334,ergo/2,6,0.4834810636583401,liber/1,7,0.6029285099052542,terra,7,0.658513640639699,doctrina,7,0.5663430420711975,avdio,6,0.5119453924914675,dies,8,0.6705783738474435,corpvs,8,0.5873715124816447,ergo/2,8,0.6420545746388443
coepio,7,0.5882352941176471,disco,6,0.5,respondeo,6,0.4834810636583401,coepio,7,0.6029285099052542,contra/2,7,0.658513640639699,primo,7,0.5663430420711975,refero,6,0.5119453924914675,respondeo,8,0.6705783738474435,inqvio,8,0.5873715124816447,teneo,8,0.6420545746388443
vivo,7,0.5882352941176471,cvro,6,0.5,inqvio,6,0.4834810636583401,apostolicvs,7,0.6029285099052542,facio,7,0.658513640639699,sacramentvm,7,0.5663430420711975,fidelis/2,6,0.5119453924914675,ivbeo,8,0.6705783738474435,sepelio,8,0.5873715124816447,gavdeo,8,0.6420545746388443
consvetvdo,7,0.5882352941176471,qvondam,6,0.5,servo,6,0.4834810636583401,vrbs,7,0.6029285099052542,accipio,7,0.658513640639699,miles,7,0.5663430420711975,credo,6,0.5119453924914675,sanitas,8,0.6705783738474435,stvdivm,7,0.5139500734214391,vervs,7,0.5617977528089888
regnvm,7,0.5882352941176471,inqvio,6,0.5,tres,6,0.4834810636583401,ecclesiasticvs,6,0.516795865633075,hodie,7,0.658513640639699,filia,7,0.5663430420711975,soleo,6,0.5119453924914675,video,7,0.586756077116513,sollicitvs,7,0.5139500734214391,cantvari/n,7,0.5617977528089888
profero,7,0.5882352941176471,aeternvs,6,0.5,aeternvs,6,0.4834810636583401,refero,6,0.516795865633075,christianvs/2,7,0.658513640639699,villa,7,0.5663430420711975,accipio,6,0.5119453924914675,episcopvs,7,0.586756077116513,cvro,7,0.5139500734214391,theodore/n1,7,0.5617977528089888
celebratio,7,0.5882352941176471,aio,6,0.5,morior,6,0.4834810636583401,cognosco,6,0.516795865633075,videlicet,6,0.5644402634054563,praesvm/1,6,0.48543689320388345,peto,6,0.5119453924914675,magnvs,7,0.586756077116513,ministerivm,7,0.5139500734214391,pars,7,0.5617977528089888
rex,6,0.5042016806722689,donvm,6,0.5,actvs/3,6,0.4834810636583401,simvl/1,6,0.516795865633075,contingo/1,6,0.5644402634054563,gratia,6,0.48543689320388345,ieivnivm,6,0.5119453924914675,qvasi/1,7,0.586756077116513,vita,7,0.5139500734214391,aetas,7,0.5617977528089888
christvs/n,6,0.5042016806722689,angli/n,5,0.4166666666666667,ecce,6,0.4834810636583401,littera,6,0.516795865633075,finis,6,0.5644402634054563,voco,6,0.48543689320388345,devotio,6,0.5119453924914675,cognosco,6,0.5029337803855826,accipio,7,0.5139500734214391,imperivm,7,0.5617977528089888
prior,6,0.5042016806722689,nvnc,5,0.4166666666666667,amplvs,6,0.4834810636583401,nonnvllvs,6,0.516795865633075,solvs,5,0.4703668861712135,dies,6,0.48543689320388345,semper,6,0.5119453924914675,venerabilis,6,0.5029337803855826,praecipio,7,0.5139500734214391,iter,7,0.5617977528089888
videlicet,6,0.5042016806722689,venio,5,0.4166666666666667,appareo,6,0.4834810636583401,romanvs/a,6,0.516795865633075,affero,5,0.4703668861712135,qvamvis/1,6,0.48543689320388345,placeo,6,0.5119453924914675,reverto,6,0.5029337803855826,interrogo,7,0.5139500734214391,verbvm,6,0.4815409309791332
